Algorithm,100,200,300,400,500
RandomSearch,0.899424 ± 0.072641,0.959018 ± 0.025100,0.967172 ± 0.019748,0.967172 ± 0.019748,0.967172 ± 0.019748
EGBO,1.204492 ± 0.007765,1.209990 ± 0.000013,1.209999 ± 0.000001,1.210000 ± 0.000000,1.210000 ± 0.000000
NSGA2,0.928624 ± 0.022169,0.961967 ± 0.030816,1.020438 ± 0.018471,1.061909 ± 0.033786,1.079119 ± 0.028688
MOEAD,0.968808 ± 0.030918,1.021644 ± 0.025694,1.070497 ± 0.029518,1.106799 ± 0.034982,1.128306 ± 0.027822
SMSEMOA,0.903261 ± 0.010785,0.933250 ± 0.010710,0.992688 ± 0.003396,1.024046 ± 0.012453,1.052572 ± 0.012817
EHVI,1.209947 ± 0.000002,1.209959 ± 0.000016,1.209959 ± 0.000016,1.209960 ± 0.000017,1.209960 ± 0.000017
ParEGO,1.209181 ± 0.001115,1.209994 ± 0.000005,1.209997 ± 0.000001,1.209997 ± 0.000001,1.209997 ± 0.000001
MESMO,1.090451 ± 0.050444,1.103097 ± 0.033137,1.104638 ± 0.033655,1.106744 ± 0.030779,1.115310 ± 0.019408
