eval_axis,EHVI,ParEGO,MESMO,NSGA2,MOEAD,SMSEMOA,RandomSearch
55,11.101383166659312,4.528922733307506,7.629453833253744,0.9259452740009996,0.032139766650895275,1.21003204134369,0.0
60,10.38103903333346,5.647896566622269,5.994338200000736,0.9259452740009996,0.022867966676140366,1.21003204134369,0.0
65,9.182987199979834,7.631151466669205,6.4130047666840255,0.9259452740009996,0.014628833315024773,1.21003204134369,0.0
70,9.247674566693604,11.555984766688198,6.09002933333007,0.9259452740009996,0.021150766716649134,1.21003204134369,0.0
75,9.310218666718962,10.4077578667008,6.128992566644835,0.9259452740009996,0.022544366695607703,1.21003204134369,0.0
80,8.612981599988416,8.542384899997463,7.322279533332524,0.9259452740009996,0.011637033390191695,1.21003204134369,0.0
85,8.795686466619372,7.194273200002499,6.478020800005955,0.9259452740009996,0.011680633295327425,1.21003204134369,0.0
90,9.807698766700923,13.683652200037614,5.866030366664442,0.9259452740009996,0.016738600019976957,1.21003204134369,0.0
95,9.189898300023438,10.902575633333376,6.011680666667719,0.9259452740009996,0.024353766697458923,1.21003204134369,0.0
100,9.018818966695108,10.098045266699046,6.4624141666960595,0.9259452740009996,0.017003666687135894,1.21003204134369,0.0
105,10.383354066638276,10.568237466660017,6.03330593331096,1.07299343333115,0.014327366642334027,0.9853261773311713,0.0
110,10.389793266697476,9.326467966622053,6.079262366673599,1.07299343333115,0.013274166694221398,0.9853261773311713,0.0
115,10.391715600000074,11.439334800001234,6.056567133326705,1.07299343333115,0.015603733365423977,0.9853261773311713,0.0
120,10.907689200015739,12.433786000008695,6.126743766673219,1.07299343333115,0.018989633303135633,0.9853261773311713,0.0
125,10.639585133331517,10.25734486663714,6.498082133359276,1.07299343333115,0.012152966655169925,0.9853261773311713,0.0
130,10.942178266705014,11.420274666626938,6.271668699996856,1.07299343333115,0.012826966665064296,0.9853261773311713,0.0
135,10.761415999926006,8.07433786666176,6.214743700033675,1.07299343333115,0.020926966642340023,0.9853261773311713,0.0
140,11.451860833331011,10.694090633303858,6.134629933318744,1.07299343333115,0.014115666737779975,0.9853261773311713,0.0
145,10.481891266652383,12.370481966645457,6.4618123333202675,1.07299343333115,0.01327399994866596,0.9853261773311713,0.0
150,10.499657500030784,8.822117133337693,6.57078789997225,1.07299343333115,0.014130299910902977,0.9853261773311713,0.0
155,11.007938633323647,8.256514366716146,6.12251296674367,1.4601173953339412,0.011373166693374515,1.6459218780036735,0.0
160,10.925378566685444,15.618920166705115,5.732416199985892,1.4601173953339412,0.015370966672586897,1.6459218780036735,0.0
165,11.094663933346359,12.977120933355764,6.559140466696893,1.4601173953339412,0.017253133351914585,1.6459218780036735,0.0
170,9.976058133373348,7.983579366623114,6.438813766619812,1.4601173953339412,0.012588499967620237,1.6459218780036735,0.0
175,10.97532663331367,14.600397899979725,5.976303533379299,1.4601173953339412,0.013932600035332143,1.6459218780036735,0.0
180,10.676468933311602,11.507557933335193,6.138766833309394,1.4601173953339412,0.013749399920925498,1.6459218780036735,0.0
185,10.46604606664429,12.359225233318284,6.060710033324237,1.4601173953339412,0.008505233330652118,1.6459218780036735,0.0
190,11.105059200005295,12.737870066659525,6.234192333339403,1.4601173953339412,0.011830933353242775,1.6459218780036735,0.0
195,12.835376899961071,8.299296933303898,6.71935933335529,1.4601173953339412,0.017712333317225177,1.6459218780036735,0.0
200,13.702897833349803,10.271478633357523,5.9947361000037445,1.4601173953339412,0.014413033301631609,1.6459218780036735,0.0
205,9.926928733359091,13.784461133298464,6.053434433299117,1.0503147733351321,0.0133048666951557,0.4829048033345922,0.0
210,11.655089400010183,15.644857000055103,7.028900866668361,1.0503147733351321,0.018209666673404474,0.4829048033345922,0.0
