eval_axis,EHVI,ParEGO,MESMO,NSGA2,MOEAD,SMSEMOA,EGBO,RandomSearch
55,1.209915497546464,1.208675806349525,1.012371839313743,0.8992380833333172,0.9118762399999817,0.8992380833333172,1.2042773582475377,0.8900427913292676
60,1.209915497546467,1.2089926914898639,1.0347587598162107,0.8992380833333172,0.9118762399999824,0.8992380833333184,1.204446085850539,0.8900427913292694
65,1.2099377282615311,1.2090160860040717,1.0715110360918434,0.8992380833333176,0.9127548099999849,0.8992380833333192,1.204446085850549,0.8982215553051036
70,1.2099377282615338,1.2091787788813602,1.0734322745091476,0.9194366866666495,0.9127978933333188,0.8992380833333192,1.2044696583005703,0.8982215553051036
75,1.2099468729503065,1.2091787788813615,1.0736860988801686,0.9214638674408228,0.9155902066666527,0.903261347193439,1.2044696583005738,0.898221555305104
80,1.2099468729503153,1.2091806264134048,1.0736860988801686,0.9214638674408228,0.9165968899999856,0.9032613471934402,1.2044696583005745,0.8982215553051054
85,1.2099468729503153,1.209181114276083,1.073686098880169,0.9214638674408229,0.938303410405779,0.9032613471934403,1.2044696583005745,0.8994236842358202
90,1.2099468729503158,1.2091811142760898,1.0904511485381858,0.9214638674408229,0.9451558970724475,0.9032613471934403,1.2044697256305998,0.8994236842358202
95,1.2099468729503224,1.2091811142760898,1.0904511485381863,0.928623813333314,0.9644349306530318,0.9032613471934403,1.204491527498427,0.8994236842358204
100,1.2099468729503224,1.2091811142760898,1.0904511485381863,0.9286238133333141,0.9688082620636981,0.9032613471934404,1.2044915274984291,0.8994236842358204
105,1.2099468729503224,1.20919117216318,1.0904511485381863,0.9286238133333141,0.9693794703378357,0.9042417984618818,1.2055544140426948,0.8994236842358238
110,1.2099468729503224,1.2091959897414803,1.0904511485381863,0.9286238133333149,0.9695124969231266,0.9155555199999906,1.2055544140426948,0.8994236842358238
115,1.2099468729503224,1.2091975584053705,1.0904511485381863,0.9286238133333149,0.970547380748315,0.9155555199999906,1.2055544140426964,0.8994236842358241
120,1.2099468729503224,1.2091975584053705,1.0904511485381865,0.9286238133333149,0.970660325137802,0.9155555199999911,1.2055544140426964,0.8994236842358241
125,1.2099468729503224,1.2099861974411918,1.0904511485381865,0.9325025950516223,0.9720508064641263,0.9155555199999913,1.2099880423844949,0.8994236842358241
130,1.2099468729503224,1.2099861974411967,1.0904511485381865,0.9331904135810843,0.9725451026891606,0.9155555199999913,1.209988042384502,0.8994236842358241
135,1.2099468729503242,1.2099936642396885,1.0904511485381865,0.933190413581085,0.9747542360280413,0.9155555199999913,1.2099880423845042,0.8994236842358241
140,1.2099468729503242,1.2099936642396922,1.0904511485381865,0.9331904135810855,0.976164619877926,0.9155555199999913,1.2099896335944582,0.8994236842358241
145,1.209957308225289,1.209993664239706,1.0904511485381865,0.9331904135810863,0.9815972756132965,0.9155555199999913,1.2099896335944582,0.903091852788647
150,1.209957308225289,1.209993664239706,1.0904527399306094,0.9331904135810863,0.9820046460329729,0.9155555199999915,1.2099896335944582,0.921822059153981
155,1.209957308225289,1.209993664239706,1.0904527399306094,0.9331904135810863,0.9846381599999914,0.9155555199999922,1.2099896335944589,0.9218225553023376
160,1.209957308225289,1.209993664239706,1.0904527399306094,0.933190413581087,0.9890961450079322,0.9282126400801355,1.2099896335944589,0.9345167668197428
165,1.209957308225289,1.209993664239706,1.103096822942231,0.9612944543554338,0.9914721458112149,0.9282864558480654,1.2099897378984477,0.9345167668197428
170,1.2099587906590739,1.209993664239706,1.1030968229422415,0.9612944543554338,0.9953474972069607,0.9283407041801167,1.2099897378984477,0.9345167668197433
175,1.2099587906590739,1.209993664239706,1.1030968229422415,0.9612944543554341,1.0008796433184888,0.9311675208467846,1.2099897378984479,0.9590176896704862
180,1.2099587906590739,1.209993664239706,1.1030968229422415,0.9613899302097205,1.0018040081391135,0.9311675208467847,1.2099897500424344,0.9590176896704862
185,1.2099587906590739,1.209993664239706,1.1030968229422415,0.9613899302097205,1.0100704288599454,0.9330645808467843,1.2099897500424344,0.9590176896704862
190,1.2099587906590739,1.209993664239706,1.1030968229422415,0.9613904789776417,1.0136329073874883,0.9330645808467843,1.2099897500424344,0.9590176896704862
195,1.2099587906590739,1.2099936642397062,1.1030968229422415,0.9613904789776435,1.0187467294239947,0.9330645808467843,1.2099897500424344,0.9590176896704862
