objectives;variables;evaluation_time;algorithm_time
[3.581097264000008, -2.499999999999082];[-3.698986823614838, 2.6369517563229863, -2.0537641408628993, 1.5787259462323213, -2.2531756113550125, -1.9434959576944086, 4.985141703900817, -2.9775225895843116, -0.12158017981303537, 2.4392271654108217];16.184.158.300.003.000;16.884.077.187.000.000
[3.4578355680000006, -2.0600778];[3.043112308726174, -3.678156518773914, 0.7760680527758002, 0.37026411811812654, 2.1270732912742263, 3.533394321366167, -4.203588120499698, -2.770177714091292, -3.3410425056685966, -2.9719935247056584];17.011.366.580.001.700;
[3.8173090320000047, -1.7558789];[-4.4416056318398525, 2.0034070546314995, 3.3712942195189033, 1.4618912459324909, -0.7918334331778931, 2.1913156746649864, 4.89532458938046, -0.21662777573966974, -0.5313730763272417, 1.58549982415101];16.011.536.749.999.500;
[3.866121360000002, -1.9472224];[3.539337072774339, 2.2107316535225054, -1.9863201131722596, -1.6512073718229447, 2.7442141728574985, -3.341275926383447, 2.261098342487032, -0.2314640527411349, 4.377994981592423, 3.8639898664283585];16.619.608.979.998.100;
[3.808743336000009, -2.49999999999808];[-0.430729936156494, 2.1026954228225447, 3.993791173527651, 2.876927431879218, 1.0983978538834185, -4.761681182090866, 2.112790001394278, 3.430159319358122, 0.4221491895802032, -1.7138126167352894];16.913.284.680.002.800;
[3.4022592000000076, -2.4999999998980837];[-4.559344985081876, -3.742397592734851, -2.9501721878909617, 0.9056737180334586, 1.1362154648297533, 4.529567865561612, 0.2679959080995271, -3.7966304875385015, -1.610724576624495, 0.13184955320070912];16.695.724.099.996.700;
[3.700236816000013, -2.499999999997519];[3.9253922999963216, 0.7094207933080074, 3.2588663897443677, 1.6535134879453741, -4.600326441605267, -2.5473276135778535, 1.6858541027985288, -3.6094542002336794, 1.7907474405203816, 1.8405589170578356];167.514.856.600.028;
[3.9979379520000133, -2.3407224];[-1.5319473326224253, -2.6032447560621175, 1.0527109121145433, 1.2636011662431255, 4.823887735141556, 2.369092903996557, 2.7299910065170083, 3.8703155635871784, 2.4663965085712825, 3.4489060709980652];16.112.695.280.002.600;
[3.5558833680000013, -2.4999999999976463];[1.598592855103254, 2.2066335832536774, -1.2772492132428424, 3.436609136435715, -4.242678116051257, 1.959143365767213, -3.527385779992666, -4.315091482216219, 0.6442183024996737, 0.9414230985905654];16.864.914.130.000.300;
[3.702375432000013, -2.4999999999992726];[-2.95481386732104, 3.0540594914025974, 3.391201654522529, 4.714495223923741, 3.473789226970492, -0.673008978520925, -3.860101980371642, -3.7987537879069655, -3.8660827126106923, 4.725483036388839];17.062.234.410.003.200;
[3.627750240000005, -1.422801];[-3.8737778201025455, -3.116550581746209, 0.8826315675900744, -2.4681355335187547, 2.9251064095262826, 3.789994297301396, -4.746961982591308, -0.059748912053922965, 4.531273317191909, 2.8875578976350713];16.749.399.069.999.300;
[3.5655297120000125, -2.3702034];[1.4806061152358563, -3.6088984592980866, 1.036491583975506, -2.0377259785909887, 1.9671643343069034, -0.92689368324982, -3.2978590721495626, -0.8779636062068068, 3.848981108814151, 0.28689547684630146];1.662.420.887.000.040;
[3.448329192000013, -2.2101084];[1.9698857258302516, -0.41989015753431325, 0.14757442968841072, 2.6396258409380415, -3.3018047489595546, -1.7636982184447403, -3.188705893098882, 1.0547295269547625, -3.8041155580830477, -0.8887276211870567];1.722.159.563.000.310;
[3.806180496000011, -2.4999999999994054];[2.488062086849105, 0.2606242776319556, 0.4950679427324438, 2.295759799586885, -2.8111787375625754, 4.7549212601905655, 2.140838724123907, -3.4696684116346055, -1.5122757791263264, 4.369900323040165];16.682.825.610.000.800;
[3.2747697360000076, -2.499999999998084];[-1.2295749148632815, 2.7436179576375554, -3.391766858302472, -2.7789592145966924, 4.176679973403505, -4.654702266242488, -3.3848872788738937, -4.650425123479191, -3.48359427914552, 1.0633359515890115];17.109.707.030.002.000;
[3.6343628640000123, -2.4999999997049267];[-4.160697773669824, 2.672387320247948, 4.890592939834445, -3.6790622855265376, -0.3487851490113165, 0.7346322110676597, -2.272571685450284, 0.8911878571242573, -2.4479982130992006, 4.7778558944426806];17.242.327.040.003.100;
[3.71052316800001, -1.8147425];[-0.07388065101840535, -1.580645336020484, -0.2922593437268901, 3.072407384406567, -1.3123695472735797, 4.3071434289486135, 2.9865935058575843, 2.3994959036793952, -1.6369480763691193, -3.2860768183528446];1.680.733.202.000.260;
[3.3726477600000138, -2.4999999999986784];[0.17515545584006453, -0.672249303966737, -3.646014553194392, -4.932609295259821, -2.0831992336427483, 0.08405835946132001, -0.22345084301524487, -1.5573099132628707, 0.36035446364316126, 1.4363633372466902];16.555.515.020.003.000;
[3.8344099680000103, -2.4999999999969273];[-1.6357666935818251, -4.597080316022496, 2.9808829433055193, 4.232721183204097, -0.36727842221704954, -0.46179501140415624, 1.3459227303279162, 3.1713575153736464, 1.8459405444683874, 3.804064600968653];1.630.115.131.000.050;
[3.6924340320000084, -2.499999999996537];[4.14364621907324, 4.582774590569832, 3.075605779975538, -4.090524108531113, -0.23680879297494162, -1.6909519396339823, 3.8861433766360225, -0.8266202366120332, -1.7925713377208163, -3.3046746630737767];1.712.273.264.999.960;
[3.7528185600000095, -2.499999999960024];[1.622110971333245, -0.19489890717265368, -3.6928663067102763, 4.626909867036273, 0.3440843719815021, 4.8113897381867705, -2.5793087153285943, 4.96220811893213, -0.5535632405258948, -2.8044563671068734];16.664.289.570.000.200;
[3.2254092000000014, -2.499999999997829];[-2.5807070580676426, -1.2333433759776637, -4.487862096531746, -4.351425497070908, -0.05573586033322542, 0.08452256512915923, -2.5013571945003035, -4.346155142584198, 2.934814333913157, -1.3382556357168998];16.405.012.680.002.200;
[4.002929496000007, -2.4999999999993454];[4.747196373852159, 4.500870542819433, 0.4668486221681123, -2.423097342831664, 0.5829210962115976, 1.547106460026039, 4.782130702249441, -0.6003841207619045, 4.923502525790376, -0.4062754570643712];1.613.236.317.000.110;
[3.4208118720000096, -2.499999999999488];[0.10743815520517064, -1.3670601691773667, -3.0712855102505343, -1.1329785050848518, -2.490673148197813, 0.2517050978967674, 2.8934667320145904, -0.7900215631910248, -3.7433805848988886, 0.5137192645787074];16.386.618.399.998.400;
[3.1046911200000027, -2.4999999999978573];[1.9634320455296672, -1.0380457107319963, -3.6310163894313154, -2.661993058109541, -3.7189821112224553, -2.526411535239821, -4.555348290090264, -4.878633172995082, -3.4904525878172867, 1.0731660203817475];17.352.120.229.997.600;
[3.76154107200001, -2.4999999998861138];[2.7444302156933436, 3.613476635562476, -4.0679018433985945, -0.4628826154686063, 4.179287216656331, 3.5553330644017773, 3.596010505680349, -0.8912992349334399, -2.5394974449845185, -2.7815325763003305];1.667.390.088.000.100;
[3.765829968000012, -2.4999999997529896];[-1.3350224287233736, 4.075178082247778, 4.497138232425218, -4.166967176684713, -0.9853232340031148, 1.6738532835585946, -0.9032525963535569, -0.8038201704969765, 0.43247916064609804, 4.65979039760909];1.647.710.871.999.730;
[3.5227725120000053, -2.4999999999388356];[-2.0418842107649238, -1.085196576483467, 3.572254116827171, -0.842527420623103, 0.3327638270947446, -1.5425023523981798, -0.06091796576465036, -4.180877182514868, 2.734943585243572, -0.9947073588855506];16.896.197.689.999.800;
[3.7894968720000035, -2.499999999999402];[4.59845728965424, -0.25464659553683955, -3.159155071531176, 4.717864528280801, 3.22375216443443, 3.951476643164293, -2.1724556148963927, -2.492095591974791, -3.4121049893923896, 3.238566026186957];1.662.671.444.999.860;
[3.409414848000003, -2.4999999999992504];[-3.215548114297758, -1.3404628041504942, 1.3715994551254802, 4.183240177783139, -3.7621640560028338, 2.996831903408271, -4.383102480310787, -1.8381736682032104, 1.1164210187717671, -4.485366282242565];1.676.394.922.999.890;
[3.6655351200000075, -1.080847];[-4.035910668087377, 4.3644526223145, 4.027975222290557, -4.150064272566548, 3.0004343227727617, 2.2629893431933743, 3.7619714850201955, -4.831282172831939, 1.1320885778556757, -3.031941014058436];17.525.032.250.001.000;
[3.9053957760000064, -2.4999999999994693];[-3.321126500832381, 4.69948622616238, -1.724322077132098, 1.574919761114403, 1.720164502560925, 3.615820699785882, 0.22152783839373047, 0.8088376330626108, 1.9835391597748506, 4.026513988862082];16.123.192.109.999.900;
[3.869271504000002, -2.4999999999990705];[4.413014692343319, 2.7524914357138774, -4.198340055766092, 0.631637229818419, 4.2326227305156845, 4.123708099937636, 2.328485622844835, 3.61359167499576, -1.62268579807873, -4.341557484826559];16.798.634.280.002.400;
[4.072624272000002, -2.3013231];[1.2114881949691796, 1.6945787754239507, -0.01763007862567445, 4.768680996136464, 4.298111462897188, 4.635296098195651, -1.7206232488681694, 3.1651979747476915, 4.294162905897007, -0.981844800965062];1.659.214.454.999.890;
[3.7116725040000076, -2.2810749];[0.8168493922146638, 3.506322648959543, 2.87361122238781, 1.1741891314163464, 0.9287262980907265, 0.26416884569672483, -0.16634048473468077, -2.204226771948705, -0.17551994711003527, -2.3810641809043287];16.717.976.450.000.400;
[3.3545031120000015, -2.499999999996666];[-1.153419025984408, 2.8575301304951655, -1.5260134933063219, -2.1832577084773366, -3.300007730302803, -3.325033848897696, -0.4663543956713152, -3.3198931295678347, -1.72202096631663, 2.2395454738391862];16.729.322.910.000.300;
[3.5590501440000004, -2.497887315];[-2.034316111118283, 3.6054491504782558, 0.35626820708300855, 2.2022484575721757, -4.999342595556623, -4.051503792329386, -4.2793496717266795, -0.05802305930066787, 4.949490677163039, 1.8799474654389474];1.725.026.335.999.710;
[3.36625912800001, -2.499999999997816];[-4.481462427726276, -0.44532407450787304, -3.973606131311158, -2.4380350476904256, -1.048511566568553, 4.1310918974990045, 4.099908642966126, -2.2014236187480374, -1.250908308929739, -3.746419291926806];17.086.363.290.000.000;
[3.683238696000013, -2.4999999999983036];[4.452078841958281, 0.7958349496736572, -2.6174423074087763, -3.543551676230262, 0.21510924520187746, -1.5971889163113264, 3.3170040001077172, -1.3425678510972627, 4.494549283865602, -0.8535130068993011];16.551.337.340.002.600;
[3.5301966480000004, -1.343623];[-2.9489919281105195, -1.4540963384413619, -0.011004164723819265, -3.696387766257242, 2.7382420561045, 2.5497741866900556, -1.283042969475944, -0.7018358619040557, 1.0128140613168117, 0.029580537427599474];16.658.813.809.999.200;
[3.4829101440000123, -1.6756717];[-2.17269661118096, 1.0807668048200805, -2.3550346746814954, -3.5203834975936954, 1.5270677501648064, 2.2730428472878152, 2.857474894891949, -3.0361266349508287, -2.0303185535000976, -0.5779411415977611];1.662.301.337.000.090;
[3.3543957600000036, -2.499999999997673];[-1.720526175173227, -4.443491173113073, -0.6536165473874771, -1.7781995414244003, -1.2023099535786406, 3.7172382924149936, -2.020103871885197, 0.6393628198886612, 0.3124687577082774, -4.754735057623166];16.801.019.619.998.900;
[3.5565858000000117, -2.4999999999932494];[-4.165794922103991, 2.4202612073670213, 2.3587317821257727, 0.566748452069195, -1.2937900968036997, 2.490861270517488, 4.306758822590599, -2.6642104154085713, -2.072354990276728, -4.490460500818639];1.684.172.724.999.950;
[3.586343040000009, -2.49999999995802];[1.930210692158881, 4.584981537531442, 2.154145293392485, -2.0609680008822084, -2.90514981206474, -1.4422842549931003, -2.5265817335512297, -3.649589089087546, -1.472039855787619, 4.221663336900823];1.693.228.420.999.940;
[3.2711018400000125, -2.499999999995758];[3.367798462598424, -4.689469805452347, -4.709794475604461, 0.2591959994569635, 0.7224635064851377, -0.865267234060183, 1.0141545621009262, -4.618059158444297, -2.9299090534422345, -3.311226679377679];17.131.033.080.001.300;
[3.460604472000001, -2.3436737];[-2.435479873383052, -2.7879124427183877, 0.3727856620225314, 3.7994650450574134, -0.48807503310459666, -4.435293137888921, -3.6554604854824504, 4.914998369512608, 2.727623326510721, -4.99951161896231];17.199.883.659.998.800;
[3.4750499040000076, -2.3138418];[1.4897106001279692, -4.056591982482387, -3.199266971360686, -1.4284153210296013, -3.0605555424205475, -1.8438219305003178, -1.1948414424631295, 4.875914131223645, -1.6392823671737777, 3.7391144076823952];16.385.077.099.996.800;
[3.857710968000014, -2.4999999999998055];[4.170416667448263, -3.209610929272051, -0.9493342683656492, 3.1985270389534293, -1.501659017731881, 4.197934758912986, 1.98633627500009, 1.5935074380487722, 2.596374732539731, -0.6847792529816843];16.086.216.449.999.400;
[3.678807456000008, -1.9857748];[-2.016040576443332, 3.7495672200993084, 2.1191134498689648, -2.0350868846692682, -1.1655723877581439, 4.838278180491672, 0.6059344506893138, -0.7055019406198344, 2.5147161061840784, -4.790231766063772];16.730.196.989.997.000;
[3.7209676320000136, -2.496157176];[-3.8848486244513234, -4.133668671146924, -4.341369904057874, 4.480812443441678, 4.4729260500816945, 3.393084648668129, 0.11626170998524898, 3.2520246595492353, -1.9388041210179061, 3.650596105046427];1.583.186.512.000.390;
[2.7424573920000057, -2.4999999999972715];[-5.0, -5.0, -5.0, -3.410745508519293, -1.2667056860669867, -0.5569272250273629, -5.0, -5.0, -5.0, -5.0];18.366.831.559.996.300;11.098.971.599.945.700
[2.5315200000000093, -2.47531935];[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];18.270.617.419.999.300;11.098.971.599.945.700
[3.0042830880000064, 2.4433759999999998];[-4.631300268460704, -5.0, -5.0, -0.8737286769169383, -1.5475926977656829, 2.913426160283505, 0.6171349605584053, -4.590740159753206, -5.0, -5.0];17.453.120.920.003.800;11.098.971.599.945.700
[2.9054058480000036, -2.2479201];[-3.887515837468114, -5.0, -5.0, -1.7822844879154625, -1.3009067486259145, 1.1855816169438693, -4.851219418476378, -3.9713493717029515, -3.0827763445818137, -5.0];17.533.671.689.999.700;11.098.971.599.945.700
[2.615407272000006, -1.9304009];[-5.0, -5.0, -5.0, -5.0, -2.0338060486048386, -4.082530182158008, -5.0, -5.0, -5.0, -5.0];18.776.682.769.996.100;11.098.971.599.945.700
[2.9374246080000055, -2.4999999999976494];[-5.0, -5.0, -5.0, -4.693336994905621, -5.0, -5.0, 0.8065064048328754, -5.0, -0.2365405419193065, 2.9152438030987007];1.708.386.732.999.930;9.085.811.999.975.700
[2.740957920000009, -2.1239013];[-5.0, -5.0, -5.0, -5.0, -4.336131281640385, -5.0, -2.733898518625561, -5.0, -1.7301843918019078, -1.5035890516577917];16.934.872.980.002.500;9.085.811.999.975.700
[2.822623848000014, -2.4999999999977294];[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -2.8885838410195506, -5.0, 4.041110714528989, -2.675501666746056];17.049.159.729.998.700;9.085.811.999.975.700
[3.020408352000001, -2.40583383];[-5.0, -5.0, -5.0, -4.983613254226421, -5.0, -5.0, 3.128602626693773, -5.0, 0.552976726977537, 3.9357784393084856];16.876.390.750.001.800;9.085.811.999.975.700
[2.9306251440000124, -2.491645068];[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, 4.910687118027013, -5.0, 3.539497376148949, -4.9730870021805345];16.898.970.659.996.800;9.085.811.999.975.700
[2.8907400960000023, -2.499999999999174];[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, 1.1856247330267236, -5.0, -3.6141062031715787, 4.059028593196848];16.887.086.720.002.100;10.402.440.799.982.200
[3.8870547840000045, -2.4999999999997833];[-4.013678842076761, 2.3712950655680256, 0.7356875591326828, 4.059118417527678, 1.5001958000856987, 4.818614169662155, -4.299301162077178, -1.021371944461154, 5.0, 3.6056721601007133];1.680.760.860.000.150;10.402.440.799.982.200
[2.640088296000001, -2.4999999999761666];[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, 0.026313303912153252, -5.0];17.455.201.039.998.700;10.402.440.799.982.200
[2.8680372000000065, -2.3543216];[-5.0, -5.0, -5.0, -5.0, -3.2717742504807816, -5.0, 5.0, -5.0, -1.1487339920930264, -5.0];17.538.975.249.999.200;10.402.440.799.982.200
[2.6791516800000053, -1.8699344];[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.635964348516323, 1.470754267549781];17.509.381.719.998.700;10.402.440.799.982.200
[2.5973362800000013, -2.4820012];[-5.0, -5.0, -5.0, -5.0, -5.0, -1.9529462418346504, -5.0, -5.0, -5.0, -5.0];1.731.397.399.000.120;8.891.930.099.984.160
[2.94745111200001, -2.499999999997428];[-5.0, -2.132370579400283, -1.0720426408105466, -5.0, -5.0, -2.774217793218095, -5.0, -5.0, -0.6111309050350142, 0.8458070306407448];17.872.991.900.000.400;8.891.930.099.984.160
[3.240663768000002, -2.499999999992932];[-4.234586544481006, 1.633644441220067, -4.918064289074998, -3.7188629031313107, 0.9118219782896633, 4.427353101659502, -5.0, -5.0, -0.19363076149489888, -1.076962019915487];17.034.558.520.000.400;8.891.930.099.984.160
[3.0204379440000038, -2.4999999999972418];[-5.0, -3.999145731875781, -3.138311662053746, -5.0, -1.9386239295687773, 4.2618270509630545, -5.0, -5.0, 2.4493535291685404, -5.0];17.144.278.079.998.900;8.891.930.099.984.160
[2.6806042800000123, -1.070277];[-5.0, -5.0, -5.0, -5.0, -5.0, 0.23057125036572668, -5.0, -5.0, -3.3285330219774036, -5.0];17.179.946.050.001.300;8.891.930.099.984.160
[2.698407432000005, -2.495643251];[-5.0, -5.0, -1.8363262650397836, -5.0, -5.0, -4.970485021163192, -0.4669199617577311, -5.0, -5.0, -5.0];17.425.082.090.002.200;73.584.113.999.968.300
[2.956072752000008, -2.4999999999969744];[-5.0, -5.0, -2.096836946915088, -5.0, -0.537967803901422, -0.40779668504635946, -0.25709469762959536, -5.0, -5.0, -2.0450901660324154];17.093.546.779.995.000;73.584.113.999.968.300
[3.3344984880000066, -1.8035487];[-4.574286040811749, 1.6206965325057183, 1.8935662784111944, -5.0, -2.497102999748428, 1.28197294308608, -2.440260999699916, -5.0, 0.7395830411097224, 1.1507456884257419];1.703.987.784.999.770;73.584.113.999.968.300
[2.6559645120000086, -2.1131722];[-5.0, -5.0, -0.716415889791918, -5.0, -5.0, -3.522291108961209, -5.0, -5.0, -5.0, -5.0];18.264.287.889.999.100;73.584.113.999.968.300
[3.2056918560000036, -2.4999999999991473];[-0.40941480884429726, -5.0, -2.1902398075117455, -5.0, -2.364847319486886, 4.174388165697874, -2.3945624101973224, -5.0, -5.0, 4.396322724249519];1.698.340.229.000.310;73.584.113.999.968.300
[2.848603032000005, -2.4999999999979994];[-5.0, -5.0, -5.0, -5.0, -4.882689830567614, 4.027855037849452, -5.0, -5.0, 0.5346112250007842, -5.0];17.572.824.590.001.200;918.162.599.997.595
[2.7421048800000127, -2.4999999999975957];[-5.0, -5.0, -5.0, -5.0, -1.1095099918435274, -5.0, -5.0, -5.0, 0.8588069233414632, -5.0];18.702.752.179.995.800;918.162.599.997.595
[3.088629360000011, 3.462477];[-4.331510525762773, -5.0, -5.0, 1.9765036009611876, 1.3155728728632523, 0.16234478903908567, -5.0, -5.0, -3.192815076208431, -0.13800790829665122];1.738.248.057.999.880;918.162.599.997.595
[2.910261528000002, -2.0421195];[-3.7530357671371, -5.0, -5.0, -3.209335023215149, 2.783760808442132, 0.17549211888680727, -5.0, -5.0, -3.462547251710264, -5.0];17.687.903.840.001.600;918.162.599.997.595
[2.721944736000001, -2.4999999999971747];[-5.0, -5.0, -5.0, -5.0, 0.47393762172387444, -1.6579810384375322, -5.0, -5.0, -5.0, -5.0];19.133.660.730.003.600;918.162.599.997.595
[2.57768848800001, -1.7221233];[-5.0, -3.4071284830673436, -5.0, -4.45544006303343, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];1.760.716.232.000.260;9.999.759.000.027.550
[3.5079413040000063, -2.4999999999892006];[-3.1021927671298943, -2.6238239910015557, -3.5548439844022925, 5.0, 0.3422133325337793, -1.1809304140494858, -5.0, 3.2555229583195064, 2.6112692119280982, -0.5425172482057281];16.976.357.660.000.200;9.999.759.000.027.550
[3.0846147840000033, -2.2553218];[5.0, 2.426570021739619, -5.0, -4.008039862904385, -5.0, -5.0, -5.0, 2.1877171852735984, -5.0, -5.0];1.771.074.532.000.340;9.999.759.000.027.550
[2.7475200000000033, -1.8322633000000002];[-5.0, -5.0, -5.0, 5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];17.893.713.380.000.500;9.999.759.000.027.550
[3.488859000000011, -2.4999999999988423];[-3.097138502541351, 5.0, -5.0, -5.0, -5.0, -1.435512155076351, 2.6064428362496628, 1.8024971353024775, 2.113553197520206, 2.331384316735754];16.389.579.059.998.500;9.999.759.000.027.550
[2.723714856000009, -1.5226765];[-5.0, -5.0, -5.0, -4.585544172334039, -5.0, -1.263675721868763, -5.0, -5.0, -5.0, -0.2528532893463602];17.150.163.369.998.300;9.590.639.500.005.630
[2.837703024000007, -2.49999999999699];[-1.3179034996662482, -5.0, -5.0, -2.2415258941431344, -5.0, 2.7175406031495584, -5.0, -4.982967579234551, -5.0, -5.0];17.036.057.279.998.200;9.590.639.500.005.630
[2.7486462240000065, -2.499999999323512];[-2.2659303238879964, -5.0, -5.0, -5.0, -5.0, -1.4253154928495606, -5.0, -5.0, -5.0, -1.2566103277987617];17.076.274.740.003.200;9.590.639.500.005.630
[2.70750384, -2.1980728];[-2.0272217335680214, -5.0, -5.0, -3.9782300091136005, -5.0, -1.6461241977484207, -5.0, -5.0, -5.0, -4.201037588977141];1.756.968.433.999.570;9.590.639.500.005.630
[3.3937805520000004, -1.6928595];[-2.3813778414300257, -0.2597201387669701, -5.0, 1.3854635242740434, -4.636183280091661, -3.0408407845296566, 1.3906043024592645, -1.8015048432151244, 0.6632659173818531, 3.5997625588116247];165.369.076.700.008;9.590.639.500.005.630
[2.811468096000011, -2.45745181];[4.083368111688076, -5.0, -5.0, -1.1228050813176669, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];18.742.622.560.000.700;9.938.077.000.027.980
[3.1515775920000073, -2.0890084];[-1.5039891029073962, 1.5092566184065905, -1.8924745257778404, 1.0271024008031944, -5.0, -5.0, 4.566466716595016, -5.0, -5.0, -5.0];17.737.452.979.997.000;9.938.077.000.027.980
[2.981786904, -0.882244];[0.4058503133542235, -5.0, 0.1200076292809662, -1.168326309520963, -5.0, -5.0, 1.4881544537751035, -5.0, -5.0, -5.0];17.600.686.309.998.800;9.938.077.000.027.980
[2.873727936000006, -2.4999999996868363];[-5.0, -4.321067489553224, 3.1978794671667305, 0.16816666776536682, -5.0, -5.0, -3.2020155038027185, -5.0, -5.0, -5.0];19.264.027.840.003.800;9.938.077.000.027.980
[2.902213368000006, -2.43319134];[0.9201709770901711, -5.0, 5.0, -3.7584219053223533, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];19.159.038.150.002.000;9.938.077.000.027.980
[3.0557312640000083, -2.40933623];[5.0, 1.2356709948170668, -5.0, 3.0333560840017135, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];19.703.157.270.001.200;9.991.618.399.973.950
[2.894487480000013, -2.49383701];[3.3183242651753204, -0.6433314784874868, -5.0, -0.870961002753253, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];1.917.149.676.999.540;9.991.618.399.973.950
[2.833466616000008, -2.0530105];[-5.0, -0.7843090176423058, -5.0, 4.763342434083272, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];19.096.704.479.999.600;9.991.618.399.973.950
[2.92061721600001, -2.46493696];[2.2621948107513914, 5.0, -5.0, -4.8522069791258255, -5.0, -5.0, -5.0, -5.0, -4.912061042439742, -4.484165057442826];20.206.517.180.002.900;9.991.618.399.973.950
[2.693895840000002, -2.1659951];[-5.0, -0.6043209227255817, -5.0, -1.8782798386026722, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];18.556.840.910.000.000;9.991.618.399.973.950
[3.4410789360000136, -2.499999999990873];[4.538901500529423, 2.191521802608662, 0.5959774734053704, 2.054230077855829, -3.949996937671294, -5.0, -4.971181884441733, -2.7201721089920188, 0.8047610533911298, -1.4348581509718237];17.798.432.180.000.200;8.834.369.499.993.040
[2.913300864000004, -2.4999999999279785];[3.0069612947048654, -5.0, -5.0, -1.992902209040266, -5.0, -3.7217324293594967, 0.3826930592184503, -5.0, -5.0, -5.0];17.503.146.119.997.800;8.834.369.499.993.040
[2.910949704000007, -2.47387056];[3.2171907929449794, -5.0, -5.0, 4.037417276994155, -5.0, -5.0, -5.0, -5.0, -5.0, -4.6884056238029865];1.896.411.566.999.740;8.834.369.499.993.040
[3.2448399120000024, -0.8734029999999999];[-1.3363791442238742, 1.1657586859707028, -0.9936436498697638, -0.8394220947742861, -4.723909644840348, -5.0, 0.9066705864246938, -5.0, 3.8450185273425888, -5.0];16.889.541.639.998.700;8.834.369.499.993.040
