eval_axis,EGBO,EHVI,ParEGO,MESMO,NSGA2,SMSEMOA,RandomSearch
55,40.172740533327065,20.102644066675566,17.465584499955487,8.600632566667628,2.8780665853371237,2.7946087959983097,0.0014472883330502856
60,35.681116166641004,17.04668170000271,25.467731266709354,5.99791140000131,2.8780665853371237,2.7946087959983097,0.0014472883330502856
65,64.37729880000309,27.392610800025675,23.108661266664665,6.6477542666643785,2.8780665853371237,2.7946087959983097,0.0014472883330502856
70,53.80078290003197,20.405931600020267,24.614776566663448,6.1657084333346575,2.8780665853371237,2.7946087959983097,0.0014472883330502856
75,63.70083539995054,17.56159396665559,29.89313569998679,9.853127800000948,2.8780665853371237,2.7946087959983097,0.0014472883330502856
80,61.850637499980316,20.850285733351484,25.377750899991952,6.132495966665677,2.8780665853371237,2.7946087959983097,0.0014472883330502856
85,36.662780599979065,18.74927486667487,29.27999729992977,6.093122566666049,2.8780665853371237,2.7946087959983097,0.0014472883330502856
90,48.73224063334055,20.133079766683903,26.620602733339183,6.16130713333223,2.8780665853371237,2.7946087959983097,0.0014472883330502856
95,52.977313266640216,20.674674466679182,25.544377366662957,6.339197966666386,2.8780665853371237,2.7946087959983097,0.0014472883330502856
100,60.61376130002706,18.824754433357157,24.8756219666296,6.694099399997867,2.8780665853371237,2.7946087959983097,0.0014472883330502856
105,60.98875709999508,24.322634133296862,27.864918433362618,7.3650624999979,5.002244679331002,4.232932559340259,0.0014472883330502856
110,47.99407159991097,17.184995566669386,22.7851834333657,8.679289433332693,5.002244679331002,4.232932559340259,0.0014472883330502856
115,80.04148050001822,24.339201999964036,26.297924366624404,7.180951066666542,5.002244679331002,4.232932559340259,0.0014472883330502856
120,45.91183856665157,17.909897566675983,25.476728566689417,9.862811133333707,5.002244679331002,4.232932559340259,0.0014472883330502856
125,63.954029133349344,22.115050066669937,29.01630266670448,10.254924766665985,5.002244679331002,4.232932559340259,0.0014472883330502856
130,54.503888533295445,16.897335033339914,25.583598666707985,7.720289666665849,5.002244679331002,4.232932559340259,0.0014472883330502856
135,82.41273516668782,9.80319900001632,24.327127166674472,8.69464526666737,5.002244679331002,4.232932559340259,0.0014472883330502856
140,58.754114766644,25.56612539999575,23.887902999995276,9.317861400000766,5.002244679331002,4.232932559340259,0.0014472883330502856
145,47.23449096665718,19.903936933299217,27.917631066714723,9.011491066666471,5.002244679331002,4.232932559340259,0.0014472883330502856
150,82.36293693333089,16.936344766659506,25.85532013338525,10.673369399999501,5.002244679331002,4.232932559340259,0.0014472883330502856
155,76.8901631666425,19.636429200007115,27.49392116663512,9.749791733333344,2.253207663998857,1.9926529726727533,0.0014472883330502856
160,97.70040596664573,22.288481666667696,22.773974999979448,6.958319133333134,2.253207663998857,1.9926529726727533,0.0014472883330502856
165,42.32552429990998,22.702074866664287,26.3166734999589,10.910211900001135,2.253207663998857,1.9926529726727533,0.0014472883330502856
170,55.79801726671091,13.161478700019261,27.443852700021427,8.736430266665593,2.253207663998857,1.9926529726727533,0.0014472883330502856
175,69.5203723333155,20.73281269999764,27.592686933348887,11.252034033332771,2.253207663998857,1.9926529726727533,0.0014472883330502856
180,87.79559170000721,24.72638266667491,27.720507699996233,7.404579266667497,2.253207663998857,1.9926529726727533,0.0014472883330502856
185,56.94749863333224,20.933973500020027,23.660611633288983,10.444185666665968,2.253207663998857,1.9926529726727533,0.0014472883330502856
190,87.44187419997373,17.903625833316863,28.71332616665556,6.583775266664816,2.253207663998857,1.9926529726727533,0.0014472883330502856
195,89.057757566683,20.743922233309906,27.031791099968057,6.4669101666680335,2.253207663998857,1.9926529726727533,0.0014472883330502856
200,71.39222229997783,19.673793266682576,30.09466816667312,9.278140199999447,2.253207663998857,1.9926529726727533,0.0014472883330502856
205,63.77624789997935,25.372026333371952,26.03474506662072,14.101089266666046,3.2461377553319704,2.9334522366609144,0.0014472883330502856
210,79.21220193329889,22.59360530000413,25.013810700038448,12.327651700000084,3.2461377553319704,2.9334522366609144,0.0014472883330502856
215,75.01823906666444,23.35395116665556,26.15363926665547,12.420417333335536,3.2461377553319704,2.9334522366609144,0.0014472883330502856
220,83.9387894666288,16.97035623334038,28.493424366693944,7.184481566665757,3.2461377553319704,2.9334522366609144,0.0014472883330502856
