eval_axis,EHVI,ParEGO,MESMO,NSGA2,SMSEMOA,EGBO,RandomSearch
55,0.18074095754806319,0.18074095754806319,0.18074095754806319,0.18074095754806319,0.18074095754806319,0.27753699337003285,0.18074095754806319
60,0.18074095754806319,0.18074095754806319,0.29787049153993334,0.18074095754806319,0.18074095754806319,0.303900826717586,0.18074095754806319
65,0.18074095754806319,0.18074095754806319,0.5635266718763455,0.18074095754806319,0.18074095754806319,0.3057081655034129,0.18074095754806319
70,0.18074095754806319,0.2827225893682597,0.5635266718763455,0.18074095754806319,0.18074095754806319,0.3073177428327453,0.18074095754806319
75,0.18074095754806319,0.2827225893682597,0.5635266718763455,0.18074095754806319,0.18074095754806319,0.3073177428327453,0.18074095754806319
80,0.18074095754806319,0.2827225893682597,0.5824194942109552,0.18074095754806319,0.18074095754806319,0.30732684475988487,0.18074095754806319
85,0.18074095754806319,0.28659689824057866,0.5824194942109552,0.18074095754806319,0.18074095754806319,0.3074050917553884,0.18074095754806319
90,0.18074095754806319,0.429440561660688,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.3074050917553884,0.18074095754806319
95,0.18074095754806319,0.429440561660688,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.3074050917553884,0.18074095754806319
100,0.18074095754806319,0.5778790238160564,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.3260242473244422,0.18074095754806319
105,0.18074095754806319,0.592196173395452,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.3420682126650625,0.18074095754806319
110,0.18074095754806319,0.592196173395452,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.3420682126650625,0.18074095754806319
115,0.18074095754806319,0.592196173395452,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.3420682126650625,0.18074095754806319
120,0.18074095754806319,0.7353044453697191,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.3420682126650625,0.18074095754806319
125,0.18074095754806319,0.8119694958979422,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.8436164708977246,0.18074095754806319
130,0.18074095754806319,0.8974426371960164,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.8436164708977246,0.18074095754806319
135,0.18074095754806319,0.8974426371960164,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.862382266663534,0.18074095754806319
140,0.18074095754806319,0.8974426371960164,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.862382266663534,0.18074095754806319
145,0.18074095754806319,0.9054784858624129,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.8910560584110939,0.18074095754806319
150,0.18074095754806319,0.9181009837646688,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.8910560584110939,0.18074095754806319
155,0.18074095754806319,0.9263413202770465,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.9518025378538845,0.18074095754806319
160,0.18074095754806319,0.9263413202770465,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.9535517584175937,0.18074095754806319
165,0.18074095754806319,0.9380207721648975,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.9702981695858434,0.18074095754806319
170,0.18074095754806319,0.9380207721648975,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.9703986878280061,0.18357859227332265
175,0.18074095754806319,0.9380207721648975,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.9703986878280061,0.18357859227332265
180,0.18074095754806319,0.9431906763402451,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.9703986878280061,0.18357859227332265
185,0.18074095754806319,0.9537032131294941,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.9705264044601215,0.18357859227332265
190,0.18074095754806319,0.9537032131294941,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.9705390053895894,0.18357859227332265
195,0.18074095754806319,0.9545755970122071,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.9705390053895894,0.18357859227332265
200,0.18074095754806319,0.9555711597668436,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.9705390053895894,0.18357859227332265
205,0.18074095754806319,0.9555711597668436,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.9705390053895894,0.18357859227332265
210,0.18074095754806319,0.9562090979549348,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.9705390053895894,0.18357859227332265
215,0.18074095754806319,0.9562090979549348,0.5830188849113837,0.18074095754806319,0.18074095754806319,0.9705390053895894,0.18357859227332265
220,0.18074095754806319,0.9562090979549348,0.5835319038279938,0.30814925586096414,0.30814925586096414,0.9705390053895894,0.18357859227332265
225,0.18074095754806319,0.9611646208266218,0.5835319038279938,0.30814925586096414,0.30814925586096414,0.9705390053895894,0.18357859227332265
230,0.18074095754806319,0.9629267666317735,0.5835319038279938,0.30814925586096414,0.30814925586096414,0.9705390053895894,0.18357859227332265
235,0.18074095754806319,0.964136592395151,0.5835319038279938,0.30814925586096414,0.30814925586096414,0.9792887788875909,0.18357859227332265
240,0.18074095754806319,0.964136592395151,0.5835319038279938,0.30814925586096414,0.30814925586096414,0.9792887788875909,0.3181853883146508
245,0.18074095754806319,0.964136592395151,0.5835319038279938,0.3277795588804699,0.3277795588804699,0.9792887788875909,0.3181853883146508
250,0.18074095754806319,0.964136592395151,0.5835319038279938,0.3277795588804699,0.3277795588804699,0.9792887788875909,0.3181853883146508
255,0.30994589310035536,0.964136592395151,0.5835319038279938,0.3277795588804699,0.3277795588804699,0.9792887850835333,0.3181853883146508
260,0.30994589310035536,0.9854109745623919,0.5835319038279938,0.3277795588804699,0.3277795588804699,0.9792887850835333,0.3181853883146508
265,0.3592458698039842,0.9857789550907423,0.5835319038279938,0.3277795588804699,0.3277795588804699,0.9792887850835333,0.46268693902723407
270,0.3592458698039842,0.9896172060295948,0.5835319038279938,0.36071372468142315,0.36071372468142315,0.979488191693839,0.46268693902723407
275,0.3592458698039842,0.9896172060295948,0.5835319038279938,0.36071372468142315,0.36071372468142315,0.979488191693839,0.46268693902723407
280,0.3643839115560314,0.9901307415743424,0.5835319038279938,0.36071372468142315,0.36071372468142354,0.979488191693839,0.46268693902723407
285,0.3643839115560314,0.9901307415743424,0.5835319038279938,0.36071372468142354,0.36071372468142354,0.979488191693839,0.46268693902723407
290,0.3643839115560314,0.9901307415743424,0.5835319038279938,0.36071372468142354,0.36071372468142354,0.9794885290477097,0.46268693902723407
295,0.3643839115560314,0.994085545267735,0.5835319038279938,0.36071372468142354,0.36071372468142354,0.990856341961539,0.46268693902723407
300,0.3643839115560314,1.010301944112171,0.5835319038279938,0.36071372468142354,0.36071372468142354,0.9947920859473003,0.46268693902723407
305,0.3643839115560314,1.010301944112171,0.5835319038279938,0.3607924208082323,0.3607924208082323,1.0180845153932045,0.46268693902723407
310,0.3643839115560314,1.0103527808516433,0.5835319038279938,0.3607924208082323,0.3607924208082323,1.0180845153932045,0.46268693902723407
315,0.3643839115560314,1.0103527808516433,0.7757312962065379,0.3607924208082323,0.3607924208082323,1.0180845153932045,0.46268693902723407
320,0.4536086630601004,1.0110857312032886,0.7795837514906122,0.3607924208082323,0.3607924208082323,1.0180845153932045,0.46268693902723407
325,0.4536086630601004,1.0112742483626687,0.7795837514906122,0.3607924208082323,0.3607924208082323,1.0180845153932045,0.46268693902723407
330,0.4536086630601004,1.0112742483626687,0.7795837514906122,0.3607924208082323,0.3607924208082323,1.0180845153932045,0.46268693902723407
335,0.4536086630601004,1.0347481907444058,0.7795837514906122,0.3615225623788185,0.3615225623788185,1.0180845153932045,0.46268693902723407
340,0.654266258527602,1.0359750041477136,0.7795837514906122,0.3615225623788185,0.3615225623788185,1.0180845153932045,0.46268693902723407
345,0.654266258527602,1.0376365577273603,0.7795837514906122,0.3615225623788185,0.3615225623788185,1.0180845153932045,0.46268693902723407
350,0.654266258527602,1.0458570339689734,0.7795837514906122,0.3615225623788185,0.3615225623788185,1.0180845153932045,0.46268693902723407
355,0.654266258527602,1.0458570339689734,0.7795837514906122,0.361561891966154,0.36156159650441166,1.0181370387743638,0.46268693902723407
360,0.654266258527602,1.0458570339689734,0.7804160739903477,0.361561891966154,0.361561891966154,1.0181370387743638,0.46268693902723407
365,0.654266258527602,1.0458570339689734,0.7804160739903477,0.361561891966154,0.361561891966154,1.0181370387743638,0.46268693902723407
370,0.654266258527602,1.0458570339689734,0.7804160739903477,0.361561891966154,0.361561891966154,1.0182598147215163,0.46268693902723407
375,0.654266258527602,1.0561240428597887,0.789267529824213,0.3668782982080658,0.3668782982080658,1.0182598147215163,0.46268693902723407
380,0.654266258527602,1.0571453160744213,0.789267529824213,0.3668782982080658,0.3668782982080658,1.0182598147215163,0.46268693902723407
385,0.654266258527602,1.0573569390548945,0.789267529824213,0.3668782982080658,0.3668782982080658,1.0182598147215163,0.46268693902723407
390,0.654266258527602,1.0573569390548945,0.789267529824213,0.3668782982080658,0.3668782982080658,1.0185445188439899,0.46268693902723407
395,0.654266258527602,1.0573569390548945,0.789267529824213,0.37114365811979866,0.37114365811979866,1.0185445188439899,0.46268693902723407
400,0.654266258527602,1.0573569390548945,0.789267529824213,0.37129253148231167,0.37129253148231167,1.0185511644553835,0.46268693902723407
405,0.654266258527602,1.0601134536959524,0.789267529824213,0.4528860348094572,0.37141333349639555,1.0185511644553835,0.46268693902723407
410,0.654266258527602,1.0601134536959524,0.789267529824213,0.4533131840415998,0.42428303836032377,1.0185511644553835,0.46268693902723407
