Algorithm,300,600,900,1200,1500
EGBO,0.000000 ± 0.000000,0.000000 ± 0.000000,0.007853 ± 0.006262,0.039538 ± 0.033832,0.053505 ± 0.053359
NSGA2,0.000000 ± 0.000000,0.000000 ± 0.000000,0.000782 ± 0.001105,0.004325 ± 0.002008,0.008015 ± 0.004082
SMSEMOA,0.000000 ± 0.000000,0.000000 ± 0.000000,0.000782 ± 0.001105,0.004271 ± 0.002199,0.007407 ± 0.003486
ParEGO,0.004946 ± 0.006995,0.023056 ± 0.019899,0.048923 ± 0.003600,0.081889 ± 0.031867,0.084209 ± 0.031164
