eval_axis,ParEGO,NSGA2,SMSEMOA,EGBO
55,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0
155,0.0,0.0,0.0,0.0
160,0.0,0.0,0.0,0.0
165,0.0,0.0,0.0,0.0
170,0.0,0.0,0.0,0.0
175,0.0,0.0,0.0,0.0
180,0.0,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0
190,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0
205,0.0,0.0,0.0,0.0
210,0.0,0.0,0.0,0.0
215,0.0,0.0,0.0,0.0
220,0.0,0.0,0.0,0.0
225,0.0,0.0,0.0,0.0
230,0.0,0.0,0.0,0.0
235,0.0013065637837837835,0.0,0.0,0.0
240,0.0013065637837837835,0.0,0.0,0.0
245,0.0013065637837837835,0.0,0.0,0.0
250,0.001402521891891896,0.0,0.0,0.0
255,0.0017826637837837806,0.0,0.0,0.0
260,0.0017826637837837806,0.0,0.0,0.0
265,0.0017826637837837806,0.0,0.0,0.0
270,0.0017826637837837806,0.0,0.0,0.0
275,0.0017826637837837806,0.0,0.0,0.0
280,0.0017826637837837806,0.0,0.0,0.0
285,0.0017826637837837806,0.0,0.0,0.0
290,0.004946469594594588,0.0,0.0,0.0
295,0.004946469594594588,0.0,0.0,0.0
300,0.004946469594594588,0.0,0.0,0.0
305,0.004946469594594588,0.0,0.0,0.0
310,0.004946469594594588,0.0,0.0,0.0
315,0.004975378333333343,0.0,0.0,0.0
320,0.004975378333333343,0.0,0.0,0.0
325,0.004975378333333343,0.0,0.0,0.0
330,0.004975378333333343,0.0,0.0,0.0
335,0.004975378333333343,0.0,0.0,0.0
340,0.004975378333333343,0.0,0.0,0.0
345,0.004975378333333343,0.0,0.0,0.0
350,0.004975378333333343,0.0,0.0,0.0
355,0.004975378333333343,0.0,0.0,0.0
360,0.004975378333333343,0.0,0.0,0.0
365,0.004975378333333343,0.0,0.0,0.0
370,0.004975378333333343,0.0,0.0,0.0
375,0.004975378333333343,0.0,0.0,0.0
380,0.004992046576576585,0.0,0.0,0.0
385,0.004992046576576585,0.0,0.0,0.0
390,0.004992046576576585,0.0,0.0,0.0
395,0.004992046576576585,0.0,0.0,0.0
400,0.004992046576576585,0.0,0.0,0.0
405,0.004992046576576585,0.0,0.0,0.0
410,0.004992046576576585,0.0,0.0,0.0
415,0.004992046576576585,0.0,0.0,0.0
420,0.004992046576576585,0.0,0.0,0.0
425,0.004992046576576585,0.0,0.0,0.0
430,0.004992046576576585,0.0,0.0,0.0
435,0.004992046576576585,0.0,0.0,0.0
440,0.004992046576576585,0.0,0.0,0.0
445,0.006030217207207199,0.0,0.0,0.0
450,0.006030217207207199,0.0,0.0,0.0
455,0.006030217207207199,0.0,0.0,0.0
460,0.006030217207207199,0.0,0.0,0.0
465,0.006030217207207199,0.0,0.0,0.0
470,0.006030217207207199,0.0,0.0,0.0
475,0.006030217207207199,0.0,0.0,0.0
480,0.006030217207207199,0.0,0.0,0.0
485,0.007268879909909901,0.0,0.0,0.0
490,0.012723739009009005,0.0,0.0,0.0
495,0.012900875225225225,0.0,0.0,0.0
500,0.012900875225225225,0.0,0.0,0.0
505,0.012900875225225225,0.0,0.0,0.0
510,0.012900875225225225,0.0,0.0,0.0
515,0.012900875225225225,0.0,0.0,0.0
520,0.02305632738738742,0.0,0.0,0.0
525,0.02305632738738742,0.0,0.0,0.0
530,0.02305632738738742,0.0,0.0,0.0
535,0.02305632738738742,0.0,0.0,0.0
540,0.02305632738738742,0.0,0.0,0.0
545,0.02305632738738742,0.0,0.0,0.0
550,0.02305632738738742,0.0,0.0,0.0
555,0.02305632738738742,0.0,0.0,0.0
560,0.02305632738738742,0.0,0.0,0.0
565,0.02305632738738742,0.0,0.0,0.0
570,0.02305632738738742,0.0,0.0,0.0
575,0.02305632738738742,0.0,0.0,0.0
580,0.02305632738738742,0.0,0.0,0.0
585,0.02305632738738742,0.0,0.0,0.0
590,0.02305632738738742,0.0,0.0,0.0
595,0.02305632738738742,0.0,0.0,0.0
600,0.02305632738738742,0.0,0.0,0.0
605,0.02305632738738742,0.0,0.0,0.0
610,0.02305632738738742,0.0,0.0,0.0
615,0.02305632738738742,0.0,0.0,0.0
620,0.02305632738738742,0.0,0.0,0.0
625,0.02305632738738742,0.0,0.0,0.0
630,0.02305632738738742,0.0,0.0,0.0
635,0.02305632738738742,0.0,0.0,0.0
640,0.02305632738738742,0.0,0.0,0.0
645,0.02305632738738742,0.0,0.0,0.0
650,0.02305632738738742,0.0,0.0,0.0
655,0.02305632738738742,0.0,0.0,0.0
660,0.02305632738738742,0.0,0.0,0.0
665,0.02305632738738742,0.0,0.0,0.0
670,0.02305632738738742,0.0,0.0,0.0
675,0.02305632738738742,0.0,0.0,0.0
680,0.02305632738738742,0.0,0.0,0.0
685,0.03807399414414418,0.0,0.0,0.0027451855855855915
690,0.03807399414414418,0.0,0.0,0.0027451855855855915
695,0.03807399414414418,0.0,0.0,0.0027451855855855915
700,0.04581109585585589,0.0,0.0,0.0027451855855855915
705,0.04581109585585589,0.0,0.0,0.0027451855855855915
710,0.04581109585585589,0.0,0.0,0.0027451855855855915
715,0.04581109585585589,0.0,0.0,0.0027451855855855915
720,0.048113682882882904,0.0,0.0,0.0027451855855855915
725,0.048113682882882904,0.0,0.0,0.0027451855855855915
730,0.048113682882882904,0.0,0.0,0.0027451855855855915
735,0.048113682882882904,0.0,0.0,0.0027451855855855915
740,0.048113682882882904,0.0,0.0,0.0027451855855855915
745,0.048113682882882904,0.0,0.0,0.0027451855855855915
750,0.048113682882882904,0.0,0.0,0.0027451855855855915
755,0.048113682882882904,0.0,0.0,0.0027451855855855915
760,0.048113682882882904,0.0,0.0,0.0027451855855855915
765,0.048113682882882904,0.0,0.0,0.0027451855855855915
770,0.048113682882882904,0.0,0.0,0.0027451855855855915
775,0.048113682882882904,0.0,0.0,0.0027451855855855915
780,0.048113682882882904,0.0,0.0,0.0027451855855855915
785,0.048113682882882904,0.0,0.0,0.0027451855855855915
790,0.048113682882882904,0.0,0.0,0.0027451855855855915
795,0.048113682882882904,0.0,0.0,0.0027451855855855915
800,0.048113682882882904,0.0,0.0,0.0027451855855855915
805,0.048113682882882904,0.0,0.0,0.0027451855855855915
