objectives;is_feasible;variables;evaluation_time
[3.927054096000013, -2.499999999997678];True;[-1.321549222852095, 0.44668239351799777, 4.442888669813531, -4.335441726262954, -4.604743432220212, 4.901483953095438, 3.127037894030151, 2.495834333063762, 4.4930941102510875, 4.962781940486657];149.695206400007
[3.554330760000002, -2.4999999999976223];True;[3.8225396296803105, -4.075129826455583, -4.503957790993285, -2.4147446630427005, -1.1397081775969653, -0.18682356184422844, 4.022051675057373, 4.71187776117638, -2.45254243572865, -0.4311665719833844];151.951665300061
[3.6524835360000063, -2.499999999999542];True;[0.5483545624321664, -1.4686525452316967, 4.830619126886116, -4.179252588581988, 0.37702258955518264, -1.5884486273152385, -2.4783929998928835, 4.593151345704568, -1.6968631328709591, 2.9589110045809246];153.30733209999744
[3.535899912000012, -2.1456419];True;[-0.18632020549475747, 4.638125767856595, -4.639345832866604, -3.2337145207317475, -4.292437901459902, 1.538049735614936, 4.765149439187411, -4.790295970252091, 4.936665374926463, -2.236810614862208];154.3892033000011
[3.3296711040000093, -2.46619436];True;[1.6046224113786014, 4.189950361500133, -3.467657913246025, -4.996734552402301, -2.579516591292604, -1.3754482106554056, -0.27489617954268386, -1.3491196252524071, -0.473420030629061, -4.326330171593138];157.00634469999932
[3.5217404640000005, -2.499999999999427];True;[-0.08571209504134458, 0.4907890245944255, -4.152786347294026, 2.0229014615382903, -4.7608211822096, 0.9338976635995557, 0.1996532126597197, -1.1263071686267123, 1.206271455146287, 1.1156793392758857];131.96244560007472
[3.6752216400000037, -2.4999999999896394];True;[-2.0167209666837027, -2.3352260705038996, -3.386637329545631, 3.262024759700312, 1.929193702474974, -0.2596615778150291, -2.1743064042502414, 4.90114497476052, 1.4778217032940049, 1.5515214944152733];133.72652929998003
[3.8709394560000057, -2.499999999998703];True;[2.4467038584255665, 2.001732167833911, -0.24989702849212314, 0.06753880219873576, -0.33039442174301037, 4.719982577982689, 2.7139310662576595, 1.4145217985364393, -1.266955705638324, 0.4930134033964606];134.8225989000639
[3.5991619920000133, -2.497405018];True;[-3.0654632058841456, -4.091195094999959, -4.847392926861493, 3.5833617434544873, 3.8649133987027113, 4.825426099539097, 1.6907851814319343, 0.5233489946602674, -4.635228280033843, 1.5793004615841717];137.13339400000405
[3.419882208000005, -2.4999999999989893];True;[1.9817130134144794, 2.8246454566532107, -0.7516789709729697, -1.7698220115621242, -2.587182518595341, -1.849529952040215, -1.1574955585698876, 0.9776947556091597, -3.0475654128573417, -3.492887179683729];136.18587479996495
