objectives;is_feasible;variables;evaluation_time
[3.6301657680000017, -2.499999999999227];True;[0.0011184408369802057, 2.6725212719225766, 1.411043296267417, 1.1394498019722548, -2.1962956779705065, 2.150846081854688, -0.5667773937566656, 1.614888618468222, -0.7493200457490357, -4.614220862684338];176.25375249993522
[3.630257136000001, -2.4999999999993525];True;[2.093352516250934, -2.8665063511355093, -3.220046225982257, 4.772116760815493, -3.422223320248108, 4.515944875373828, 2.845463059363537, -1.194418810224127, 1.6458955194012024, -4.302136324354423];167.91793580004014
[3.6145198080000105, -2.499999999958281];True;[4.2279099411201635, 3.0910234592320176, -4.408233927380908, -1.6087602488692343, 2.0439623458364924, -3.8551644705415242, -1.2810663124508914, 0.13237698567979805, -2.5374131894616223, 4.334236434090318];170.93948019994423
[3.7712988720000062, -1.8931603];True;[4.734478891701205, 1.4163527358804266, 1.5259454349208221, -3.375317080593012, -2.8564879988017755, -4.739603482121018, 2.7339204772554373, 4.1973160766280095, 0.6524746310815255, 3.1080942276421286];170.29162979999091
[3.79262088, -2.499999999998429];True;[-2.489415393095753, -2.431886470659377, 2.3149885210233743, 1.6548810100931348, 2.912554488563062, 1.0447770308426527, 0.32454944730101687, 1.457700595408923, 1.5025612908850574, 2.0935971750944784];160.76369560009334
[3.3510255120000054, -2.499999999997891];True;[-4.003510204994587, -4.5232376611742104, -0.37670432651808916, -2.4992748893143, -2.9673267328036657, 0.6900451247121016, 1.6042573828885747, 2.5308795649294824, -0.5537483734184265, -1.9613172768027343];163.4501824999461
[3.911064912000009, -2.499999999999461];True;[4.877582235009241, -4.3180593981689945, 2.8367911745097736, 0.17171228443933373, 4.7026329942586536, 1.9336644681975201, -1.437766266271705, 2.4210182183539803, 0.021228265535599533, 2.6589895693287264];165.07037490000948
[3.5488380960000123, -2.4999999999987232];True;[-4.3342809339981345, -0.010075673757278025, -0.45535112132154154, -3.350206117996647, 1.3029794551968363, -3.1450123161864587, -3.4128644697983077, 3.2192219242810562, 4.680142016063769, 2.603509177497374];166.8879757000832
[3.421104768000005, -2.3475644];True;[-1.4907769457931352, -2.440483269984728, 4.38304029260107, 0.05995681501230177, 2.010467881428686, -1.973916183153114, -2.061710994374671, -4.065190944973897, -3.7334282803566543, 0.4964995556673575];172.74255500000436
[3.4921130400000084, -2.4999999999988676];True;[-3.2372270673175194, 1.9649077798479508, -3.0108715398630927, -1.126890850253445, 2.3448460250935224, 0.8847983948022389, 0.6926873647927989, -4.653332970729949, -2.978660038096539, 3.5916625691380606];168.18325450003613
[3.6527904720000115, -2.09351];True;[-2.488882921675979, 3.9370285942794307, -1.8573620208508022, -0.8316701974996867, -4.145141006756944, -2.5155388206589437, 4.021194294914418, 3.6715309758828756, 4.209976249951142, -2.0904774330406264];161.89683949993923
[3.6641775600000095, -1.8406018];True;[3.891920283061598, -2.0960683033670193, -4.941442780873309, 4.013339554623387, 2.9729008005637256, 0.21233965723464898, -1.3452226254851638, 1.3758652547543164, -1.953163009224462, 0.3073649775909768];165.5290951000061
[3.700839456000013, 0.5735350000000001];True;[2.031556364558992, 4.719706106841565, 1.2322507001622771, -1.514277486403126, 1.847880289644345, -0.7830222158280726, -1.8458436608305275, -4.992437788147219, 3.6236643794636123, -0.18431425852065342];173.95365909999236
[3.835067040000001, -2.0351072];True;[-0.5542676560741011, 3.866727934800293, -3.1802882721552814, 1.1903869936649691, 3.25319574145, -2.2982085599517887, 0.6975578696985876, 3.7824657083956126, -0.625714918333415, 4.217518969467822];164.60256779997144
[3.7246653360000077, -2.49999999999909];True;[-1.621711623567097, -3.1100868055819273, 3.831463129046739, 0.336852164424867, 1.7933925456886097, -2.180413611904809, -0.39386130847183587, -0.223989540674002, 3.178255999199042, 3.6283040763613936];163.86730010004248
[3.4509522960000094, -2.499999999997982];True;[2.116385783694726, -1.637444298375772, 0.3657524726301462, 3.2953561834835874, -0.6395121184227595, -4.0929224112251825, -2.4353200057933844, 0.6035212750187515, -3.3374262636361154, -1.6720755586963887];170.46659899991937
[3.501159768000001, -2.4999999999972307];True;[1.2247696170236058, -1.4502323116469427, -1.5668250315721455, 1.2934244828354569, 2.025723872767898, 3.8277713789887677, -1.4479368133736745, -4.790420717484992, -3.4713195172299027, -0.7542290920138282];170.42544509994332
[3.8570543280000007, -2.49999999999963];True;[0.236593185027556, -3.2930629223065733, -1.1096142814399998, -0.00278557967550519, 4.344114956833021, 0.9441078680117654, -0.5221505373918855, 4.3263925864687565, 1.868877975479931, 4.574826138210611];161.67915130010806
[3.679993728, -2.499999999998594];True;[1.9642391552438951, -4.325144977301763, -4.290098972480289, 4.835431457528971, -2.0304062776422063, -2.182079701463371, -1.1310059303030098, 2.917845747693284, 2.727921352358525, 4.683378151316401];167.37649079994299
[3.973422168000007, -2.4999999997749858];True;[1.0248555010675355, 3.788167433385887, 4.482532168019844, -1.6562433890225448, 4.418786317107262, -1.6233475024478872, 0.020917853395165942, 3.8876584885969834, 4.640511831887721, -2.22911972722034];164.96263790002558
[3.7661466240000023, -2.4999999999986566];True;[3.365510353946812, -3.5566142285337534, 2.306283005373184, 0.47144411370383565, 3.7761751117561584, -4.8237348036284065, 3.3835099111636264, 2.2115966466914934, -3.4287561137401035, 3.453215141428627];171.23718699999154
[3.6188454240000114, -2.499999999970832];True;[0.3783100283808407, 0.30902038807807664, 3.3296202384751865, -4.126612548824966, 1.5040905518596102, 2.136333656360435, 2.479557208217119, -2.541255013109783, -1.0234872298891853, -2.106426384552874];168.9447155999951
[3.3087258000000093, -1.8756441000000001];True;[0.5955774929293911, -3.2301328704447974, -3.8862694737645906, 4.2670051922814825, 0.5443735149707853, -1.3299884367170787, 2.5606042868153303, -4.536327153264802, -4.499807255075493, -4.503257249468541];174.0358190999832
[3.337690968000004, -2.4999999999993223];True;[-1.3678533879466412, -0.27088684555487497, -1.744078293843796, -3.6590401159834207, 4.536734862359074, -1.7976928511090828, -4.616521545927945, -0.6488534765808582, -3.0340814390777737, -0.0750077708314798];172.40587149991188
[3.9592257840000005, -2.499999999999355];True;[2.4834676934520346, 3.189046947049013, 2.6941881471604203, -1.707692669247681, -1.016733000048915, 0.04401938731514399, 0.929117743422033, 3.1710937157988504, 4.065841417325721, 2.245153631558506];162.55070940009318
[3.8686027680000095, -2.4999999999976814];True;[-1.3623270231959106, 0.4535684988267983, 1.3296767273537533, -4.014228205260708, -1.4642809348963248, 4.640818879337994, 3.756952258668951, 2.288167896784258, 4.170275418729007, 2.10335265880515];156.88236599997617
[3.5846394480000128, -2.499999999999526];True;[1.8329302189287855, -0.6959937835790182, -3.956762139442509, 4.21535409071735, 3.029973107600286, -0.30030383834439345, -4.117306564881311, -0.4747720923228158, 2.468751998000301, -3.2463204097173346];170.31356720009353
[3.6898997040000077, -2.4999999999988662];True;[-1.94051001519541, 0.2617506170774213, 0.805785124988442, -0.17274735569761646, 1.0850177639668166, -1.022715581929349, 0.38908386153443075, -0.35239642104642677, 2.6359761048976296, 1.939453032545435];164.63913789996877
[3.7145770560000066, -2.2354288];True;[4.111856417022896, -2.7423574423566954, 4.012139021573676, -1.320679529566653, 3.950329896957083, -2.3580611656533987, 4.6858386674352435, -2.3509657069340264, -2.5485244041975053, -0.6684097958088708];168.3461555999238
