evaluations,algorithm_time
1075,0.00029113066654341916
1080,0.00029113066654341916
1085,0.00029113066654341916
1090,0.00029113066654341916
1095,0.00029113066654341916
1100,0.00029113066654341916
1105,0.00029113066654341916
1110,0.00029113066654341916
1115,0.00029113066654341916
1120,0.00029113066654341916
1125,0.00029113066654341916
1130,0.00029113066654341916
1135,0.00029113066654341916
1140,0.00029113066654341916
1145,0.00029113066654341916
1150,0.00029113066654341916
1155,0.00029113066654341916
1160,0.00029113066654341916
1165,0.00029113066654341916
1170,0.00029113066654341916
1175,0.00029113066654341916
1180,0.00029113066654341916
1185,0.00029113066654341916
1190,0.00029113066654341916
1195,0.00029113066654341916
1200,0.00029113066654341916
1205,0.00029113066654341916
1210,0.00029113066654341916
1215,0.00029113066654341916
1220,0.00029113066654341916
1225,0.00029113066654341916
1230,0.00029113066654341916
1235,0.00029113066654341916
1240,0.00029113066654341916
1245,0.00029113066654341916
1250,0.00029113066654341916
1255,0.00029113066654341916
1260,0.00029113066654341916
1265,0.00029113066654341916
1270,0.00029113066654341916
1275,0.00029113066654341916
1280,0.00029113066654341916
1285,0.00029113066654341916
1290,0.00029113066654341916
1295,0.00029113066654341916
1300,0.00029113066654341916
1305,0.00029113066654341916
1310,0.00029113066654341916
1315,0.00029113066654341916
1320,0.00029113066654341916
1325,0.00029113066654341916
1330,0.00029113066654341916
1335,0.00029113066654341916
1340,0.00029113066654341916
1345,0.00029113066654341916
1350,0.00029113066654341916
1355,0.00029113066654341916
1360,0.00029113066654341916
1365,0.00029113066654341916
1370,0.00029113066654341916
1375,0.00029113066654341916
1380,0.00029113066654341916
1385,0.00029113066654341916
1390,0.00029113066654341916
1395,0.00029113066654341916
1400,0.00029113066654341916
1405,0.00029113066654341916
1410,0.00029113066654341916
1415,0.00029113066654341916
1420,0.00029113066654341916
1425,0.00029113066654341916
1430,0.00029113066654341916
1435,0.00029113066654341916
1440,0.00029113066654341916
1445,0.00029113066654341916
1450,0.00029113066654341916
1455,0.00029113066654341916
1460,0.00029113066654341916
1465,0.00029113066654341916
1470,0.00029113066654341916
1475,0.00029113066654341916
1480,0.00029113066654341916
1485,0.00029113066654341916
1490,0.00029113066654341916
1495,0.00029113066654341916
1500,0.00029113066654341916
