objectives;is_feasible;variables;evaluation_time;algorithm_time
[3.4208118720000096, -2.499999999999488];True;[0.10743815520517064, -1.3670601691773667, -3.0712855102505343, -1.1329785050848518, -2.490673148197813, 0.2517050978967674, 2.8934667320145904, -0.7900215631910248, -3.7433805848988886, 0.5137192645787074];155.64883289998397;
[3.1046911200000027, -2.4999999999978573];True;[1.9634320455296672, -1.0380457107319963, -3.6310163894313154, -2.661993058109541, -3.7189821112224553, -2.526411535239821, -4.555348290090264, -4.878633172995082, -3.4904525878172867, 1.0731660203817475];160.07604890002403;
[3.76154107200001, -2.4999999998861138];True;[2.7444302156933436, 3.613476635562476, -4.0679018433985945, -0.4628826154686063, 4.179287216656331, 3.5553330644017773, 3.596010505680349, -0.8912992349334399, -2.5394974449845185, -2.7815325763003305];160.65540489996783;
[3.765829968000012, -2.4999999997529896];True;[-1.3350224287233736, 4.075178082247778, 4.497138232425218, -4.166967176684713, -0.9853232340031148, 1.6738532835585946, -0.9032525963535569, -0.8038201704969765, 0.43247916064609804, 4.65979039760909];153.54335330007598;
[3.5227725120000053, -2.4999999999388356];True;[-2.0418842107649238, -1.085196576483467, 3.572254116827171, -0.842527420623103, 0.3327638270947446, -1.5425023523981798, -0.06091796576465036, -4.180877182514868, 2.734943585243572, -0.9947073588855506];159.61657399998512;
[3.7894968720000035, -2.499999999999402];True;[4.59845728965424, -0.25464659553683955, -3.159155071531176, 4.717864528280801, 3.22375216443443, 3.951476643164293, -2.1724556148963927, -2.492095591974791, -3.4121049893923896, 3.238566026186957];163.73150049999822;
[3.409414848000003, -2.4999999999992504];True;[-3.215548114297758, -1.3404628041504942, 1.3715994551254802, 4.183240177783139, -3.7621640560028338, 2.996831903408271, -4.383102480310787, -1.8381736682032104, 1.1164210187717671, -4.485366282242565];167.30783910001628;
[3.6655351200000075, -1.080847];True;[-4.035910668087377, 4.3644526223145, 4.027975222290557, -4.150064272566548, 3.0004343227727617, 2.2629893431933743, 3.7619714850201955, -4.831282172831939, 1.1320885778556757, -3.031941014058436];167.58550540008582;
[3.9053957760000064, -2.4999999999994693];True;[-3.321126500832381, 4.69948622616238, -1.724322077132098, 1.574919761114403, 1.720164502560925, 3.615820699785882, 0.22152783839373047, 0.8088376330626108, 1.9835391597748506, 4.026513988862082];164.971276700031;
[3.869271504000002, -2.4999999999990705];True;[4.413014692343319, 2.7524914357138774, -4.198340055766092, 0.631637229818419, 4.2326227305156845, 4.123708099937636, 2.328485622844835, 3.61359167499576, -1.62268579807873, -4.341557484826559];161.195490000071;
[4.072624272000002, -2.3013231];True;[1.2114881949691796, 1.6945787754239507, -0.01763007862567445, 4.768680996136464, 4.298111462897188, 4.635296098195651, -1.7206232488681694, 3.1651979747476915, 4.294162905897007, -0.981844800965062];158.07359659997746;
[3.7116725040000076, -2.2810749];True;[0.8168493922146638, 3.506322648959543, 2.87361122238781, 1.1741891314163464, 0.9287262980907265, 0.26416884569672483, -0.16634048473468077, -2.204226771948705, -0.17551994711003527, -2.3810641809043287];157.68872769991867;
[3.3545031120000015, -2.499999999996666];True;[-1.153419025984408, 2.8575301304951655, -1.5260134933063219, -2.1832577084773366, -3.300007730302803, -3.325033848897696, -0.4663543956713152, -3.3198931295678347, -1.72202096631663, 2.2395454738391862];156.22053180006333;
[3.5590501440000004, -2.497887315];True;[-2.034316111118283, 3.6054491504782558, 0.35626820708300855, 2.2022484575721757, -4.999342595556623, -4.051503792329386, -4.2793496717266795, -0.05802305930066787, 4.949490677163039, 1.8799474654389474];162.07959310000297;
[3.36625912800001, -2.499999999997816];True;[-4.481462427726276, -0.44532407450787304, -3.973606131311158, -2.4380350476904256, -1.048511566568553, 4.1310918974990045, 4.099908642966126, -2.2014236187480374, -1.250908308929739, -3.746419291926806];160.62253380008042;
[3.683238696000013, -2.4999999999983036];True;[4.452078841958281, 0.7958349496736572, -2.6174423074087763, -3.543551676230262, 0.21510924520187746, -1.5971889163113264, 3.3170040001077172, -1.3425678510972627, 4.494549283865602, -0.8535130068993011];155.85889309993945;
[3.5301966480000004, -1.343623];True;[-2.9489919281105195, -1.4540963384413619, -0.011004164723819265, -3.696387766257242, 2.7382420561045, 2.5497741866900556, -1.283042969475944, -0.7018358619040557, 1.0128140613168117, 0.029580537427599474];154.96826210001018;
[3.4829101440000123, -1.6756717];True;[-2.17269661118096, 1.0807668048200805, -2.3550346746814954, -3.5203834975936954, 1.5270677501648064, 2.2730428472878152, 2.857474894891949, -3.0361266349508287, -2.0303185535000976, -0.5779411415977611];155.04002009995747;
[3.3543957600000036, -2.499999999997673];True;[-1.720526175173227, -4.443491173113073, -0.6536165473874771, -1.7781995414244003, -1.2023099535786406, 3.7172382924149936, -2.020103871885197, 0.6393628198886612, 0.3124687577082774, -4.754735057623166];158.1073595000198;
[3.5565858000000117, -2.4999999999932494];True;[-4.165794922103991, 2.4202612073670213, 2.3587317821257727, 0.566748452069195, -1.2937900968036997, 2.490861270517488, 4.306758822590599, -2.6642104154085713, -2.072354990276728, -4.490460500818639];159.7556917000329;
