eval_id;objectives;objectives_maxspace;cv;is_feasible;variables;evaluation_time;algorithm_time;workdir
1;[3.581097264000008, -2.499999999999082];[-3.581097264000008, 2.499999999999082];0.0;True;[-3.698986823614838, 2.6369517563229863, -2.0537641408628993, 1.5787259462323213, -2.2531756113550125, -1.9434959576944086, 4.985141703900817, -2.9775225895843116, -0.12158017981303537, 2.4392271654108217];156.18823249999997;1630.4544342;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_327968
2;[3.4578355680000006, -2.0600778];[-3.4578355680000006, 2.0600778];0.0;True;[3.043112308726174, -3.678156518773914, 0.7760680527758002, 0.37026411811812654, 2.1270732912742263, 3.533394321366167, -4.203588120499698, -2.770177714091292, -3.3410425056685966, -2.9719935247056584];162.36401859999995;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_382756
3;[3.8173090320000047, -1.7558789];[-3.8173090320000047, 1.7558789];0.0;True;[-4.4416056318398525, 2.0034070546314995, 3.3712942195189033, 1.4618912459324909, -0.7918334331778931, 2.1913156746649864, 4.89532458938046, -0.21662777573966974, -0.5313730763272417, 1.58549982415101];154.0445515;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_357437
4;[3.866121360000002, -1.9472224];[-3.866121360000002, 1.9472224];0.0;True;[3.539337072774339, 2.2107316535225054, -1.9863201131722596, -1.6512073718229447, 2.7442141728574985, -3.341275926383447, 2.261098342487032, -0.2314640527411349, 4.377994981592423, 3.8639898664283585];157.2512056;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_101569
5;[3.808743336000009, -2.49999999999808];[-3.808743336000009, 2.49999999999808];0.0;True;[-0.430729936156494, 2.1026954228225447, 3.993791173527651, 2.876927431879218, 1.0983978538834185, -4.761681182090866, 2.112790001394278, 3.430159319358122, 0.4221491895802032, -1.7138126167352894];161.73676899999998;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_161751
6;[3.4022592000000076, -2.4999999998980837];[-3.4022592000000076, 2.4999999998980837];0.0;True;[-4.559344985081876, -3.742397592734851, -2.9501721878909617, 0.9056737180334586, 1.1362154648297533, 4.529567865561612, 0.2679959080995271, -3.7966304875385015, -1.610724576624495, 0.13184955320070912];168.8922973000001;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_169487
7;[3.700236816000013, -2.499999999997519];[-3.700236816000013, 2.499999999997519];0.0;True;[3.9253922999963216, 0.7094207933080074, 3.2588663897443677, 1.6535134879453741, -4.600326441605267, -2.5473276135778535, 1.6858541027985288, -3.6094542002336794, 1.7907474405203816, 1.8405589170578356];170.4133885;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_698447
8;[3.9979379520000133, -2.3407224];[-3.9979379520000133, 2.3407224];0.0;True;[-1.5319473326224253, -2.6032447560621175, 1.0527109121145433, 1.2636011662431255, 4.823887735141556, 2.369092903996557, 2.7299910065170083, 3.8703155635871784, 2.4663965085712825, 3.4489060709980652];160.11275060000003;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_842411
9;[3.5558833680000013, -2.4999999999976463];[-3.5558833680000013, 2.4999999999976463];0.0;True;[1.598592855103254, 2.2066335832536774, -1.2772492132428424, 3.436609136435715, -4.242678116051257, 1.959143365767213, -3.527385779992666, -4.315091482216219, 0.6442183024996737, 0.9414230985905654];167.20603040000003;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_494604
10;[3.702375432000013, -2.4999999999992726];[-3.702375432000013, 2.4999999999992726];0.0;True;[-2.95481386732104, 3.0540594914025974, 3.391201654522529, 4.714495223923741, 3.473789226970492, -0.673008978520925, -3.860101980371642, -3.7987537879069655, -3.8660827126106923, 4.725483036388839];169.3746342999999;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_130069
11;[3.627750240000005, -1.422801];[-3.627750240000005, 1.422801];0.0;True;[-3.8737778201025455, -3.116550581746209, 0.8826315675900744, -2.4681355335187547, 2.9251064095262826, 3.789994297301396, -4.746961982591308, -0.059748912053922965, 4.531273317191909, 2.8875578976350713];183.55939249999994;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_410855
12;[3.5655297120000125, -2.3702034];[-3.5655297120000125, 2.3702034];0.0;True;[1.4806061152358563, -3.6088984592980866, 1.036491583975506, -2.0377259785909887, 1.9671643343069034, -0.92689368324982, -3.2978590721495626, -0.8779636062068068, 3.848981108814151, 0.28689547684630146];177.49427839999998;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_425288
13;[3.448329192000013, -2.2101084];[-3.448329192000013, 2.2101084];0.0;True;[1.9698857258302516, -0.41989015753431325, 0.14757442968841072, 2.6396258409380415, -3.3018047489595546, -1.7636982184447403, -3.188705893098882, 1.0547295269547625, -3.8041155580830477, -0.8887276211870567];180.23836459999995;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_849280
14;[3.806180496000011, -2.4999999999994054];[-3.806180496000011, 2.4999999999994054];0.0;True;[2.488062086849105, 0.2606242776319556, 0.4950679427324438, 2.295759799586885, -2.8111787375625754, 4.7549212601905655, 2.140838724123907, -3.4696684116346055, -1.5122757791263264, 4.369900323040165];171.20611240000005;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_931357
