eval_id;objectives;objectives_maxspace;cv;is_feasible;variables;evaluation_time;algorithm_time;workdir
1;[3.5386139520000026, -2.4999999999985287];[-3.5386139520000026, 2.4999999999985287];0.0;True;[-1.6001085585399002, -1.5548678516281433, -2.471125170227537, -1.9167167473460758, 3.448681838997336, -0.5251585189677019, 3.00957938959227, 2.239481482267162, -3.985027465169164, -0.020007930995955547];149.31217079999624;1607.7444939999987;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_436299
2;[3.3156028080000013, -2.499999999999566];[-3.3156028080000013, 2.499999999999566];0.0;True;[-0.36386760441707544, -3.4806337052229095, -2.4095627964000554, -2.717692454729883, 3.5361298369235747, 0.7747306635110887, -3.4904402616894203, -4.7044018553283244, 0.6166467306937697, -1.4607453325205366];149.45858379999845;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_419287
3;[3.725008992000012, -1.7185764];[-3.725008992000012, 1.7185764];0.0;True;[-2.373964424437488, -4.914168942756422, 2.85194677761506, 0.753983907810599, 0.2528174757257373, -0.6432470733278226, 2.6501147242528864, -2.663531468715502, 4.714750558624061, 4.625399882637431];149.10419049999473;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_578445
4;[3.9822507360000037, -2.4999999999996034];[-3.9822507360000037, 2.4999999999996034];0.0;True;[-1.303735812689263, 3.792363586427525, 4.8919865034593535, -0.17217679779880335, 4.010492157072475, -0.32353972002783493, -3.7246731223056537, 4.784551980007569, 4.504955437962639, 0.7032081616921593];149.1583621999962;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_688398
5;[3.1424770800000115, -2.499999999999626];[-3.1424770800000115, 2.499999999999626];0.0;True;[-2.3237030168770776, -4.099926433334048, 0.7295120211926616, -1.9120260119919, -1.6633710288116434, 1.2552924084254595, -4.813550963135103, -2.091865827536804, -3.5312984608876077, -3.2640218916564887];146.55934649999836;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_376460
6;[3.8363068800000013, -2.3123322];[-3.8363068800000013, 2.3123322];0.0;True;[2.398962061961475, 2.4963107643343374, 1.4052673345237956, -1.6531242302178653, -2.2271647009585926, 3.022353358469058, 3.9191692714939244, 0.46877263697292015, 1.2307741416792686, -0.6545154551034056];167.73749020000105;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_386432
7;[3.8863471680000012, -2.4999999999990754];[-3.8863471680000012, 2.4999999999990754];0.0;True;[2.178896080402848, 1.217570976865594, 1.6509216648483962, 0.3522059819678187, -1.6458099615500856, 4.212246741461808, 3.998189025267415, -4.0481488554649445, 3.2379834355367194, 1.5694442381422498];173.16131250000035;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_873756
8;[3.452200776000003, -2.4999999999711813];[-3.452200776000003, 2.4999999999711813];0.0;True;[-3.597301041265343, -1.7530214556985513, 3.1660019034354665, 0.48639284112370795, -3.9251550451787987, -0.23439921887019377, -0.5781049038637036, -2.286614873005327, 2.2267628892584304, -0.8804277099195374];177.22671589999663;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_369023
9;[3.686804208000008, -2.4999999999983475];[-3.686804208000008, 2.4999999999983475];0.0;True;[0.5552993931913743, -2.032700892945385, 0.9177515188120013, 0.689491512808126, 4.89993684682746, -4.45200477773339, 2.5504700602334642, 4.924565964197527, -2.6329829773214772, -1.9344049510370431];172.42637610000384;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_785338
10;[3.723168888000006, -1.065835];[-3.723168888000006, 1.065835];0.0;True;[-0.939791865141685, -4.547214826355105, 3.657710281448871, 1.9340499960688522, 1.6551917647545196, 2.4850614538920732, -3.921389326791024, -2.6544732781191493, 3.068888949785544, 4.430900760902745];170.10134760000074;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_571103
11;[3.7138525920000083, -2.3799314];[-3.7138525920000083, 2.3799314];0.0;True;[-2.2856921319413734, -1.5586733477652404, 2.521590433392551, -2.587189291184969, 1.5128760705562527, 2.7000862524244598, 1.6020085178282901, 0.6864432987702003, -1.7107562222319093, 3.856928818619185];159.0819677000036;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_761010
12;[3.7981938960000017, -2.4999999999978018];[-3.7981938960000017, 2.4999999999978018];0.0;True;[-3.445748690608105, -1.21684096209664, 0.2473190839903694, 3.8492053326909, 1.4234120552783889, -3.958429289493748, 2.238480501054391, 4.674604447843354, 1.8736195882735904, 2.956722139097975];161.596269200003;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_655489
13;[3.5463858480000026, -2.3706272];[-3.5463858480000026, 2.3706272];0.0;True;[-0.6291220674450546, -1.1247993095483877, 0.3415837855887558, 3.417516158441737, -2.095562487418107, -3.0837300337577256, -4.487361531467323, -0.222702744386444, 0.5809109849636211, 4.287796207805783];164.39317850000225;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_106187
14;[3.4490322720000104, -1.9677525999999999];[-3.4490322720000104, 1.9677525999999999];0.0;True;[-2.153090491252563, -3.1685693662045553, 1.5380428739395153, -2.814700199648917, 4.514990423932284, 4.780166930192703, -4.240368216965321, 0.4988743457671605, -3.6074541946367433, -2.870467018082219];165.50926130000153;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_865863
15;[3.6183557520000074, -2.499999999997576];[-3.6183557520000074, 2.499999999997576];0.0;True;[1.1746115015120306, -4.862030001204424, 3.726971554953151, 2.190158069706202, 1.3643061144105335, 1.2130358840958095, 0.6434472101895663, -3.231405683283042, 2.8522523088309537, -4.754891713656331];166.2713666999989;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_154328
16;[3.7533132000000107, -2.499999999999357];[-3.7533132000000107, 2.499999999999357];0.0;True;[0.49186249336294985, -2.8318761580405463, 3.713099765357807, -1.5130842392576072, 0.92921483954599, -1.1290917611879578, -0.17108767952597148, 2.606428951806649, 3.935828497007803, 0.5331941528719364];154.17862009999953;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_947135
17;[3.4851379680000125, -2.42774489];[-3.4851379680000125, 2.42774489];0.0;True;[1.72587841191101, 0.9110622368928674, -2.8099402083333036, -1.79531429022455, 0.7586462012582418, -4.762689447035877, 1.496936493706304, -0.052256230055006014, -4.036160679421171, 2.7128168418013674];163.40379270000267;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_864890
18;[3.271121496000007, -2.4999999999972395];[-3.271121496000007, 2.4999999999972395];0.0;True;[-1.1177281553047758, -2.0218583200731945, -2.2737719741815132, 2.2130341794900135, -1.7344034606672976, -4.859306795092734, -2.752543423020488, -4.406893720056946, 2.8340683717328297, -1.6398103288114285];160.25771000000532;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_563962
19;[4.028452272000008, -2.4999999999959917];[-4.028452272000008, 2.4999999999959917];0.0;True;[2.728308072631341, 3.2181028923894885, 3.1202600255674326, 4.62202812120092, -4.515598717928687, -2.0186428843600837, 4.779192926647376, 2.6399797578241664, 4.8407824007188776, -0.11200983806446807];158.49177300000156;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_510235
20;[3.4055957520000013, -2.4999999999974913];[-3.4055957520000013, 2.4999999999974913];0.0;True;[4.252579891060055, -2.538102332029424, -4.322424468501474, -1.1884887943479718, -4.375559271725389, 0.520082993244813, 0.0978417147856172, -3.2346634464685717, 4.047932292895979, -2.7927097176160554];156.0549575000041;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_126924
21;[3.5552269440000117, -2.4999999999990545];[-3.5552269440000117, 2.4999999999990545];0.0;True;[-2.7066621463997187, -3.8116938576016324, 1.5172746471917362, -3.1813231925737986, -2.2177004265104405, -0.11721079904680565, 3.3925792207784244, 3.798751846562551, 2.241557729084036, -1.5217479585471683];153.68373409999913;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_889830
22;[3.4615263600000086, -2.499999999999573];[-3.4615263600000086, 2.499999999999573];0.0;True;[1.9991241419829162, -1.1433823620342096, -3.4831677072237124, -1.9138872391064519, -0.6787037035923191, 1.5191209919204294, 4.256549146984584, -4.749737880274846, -4.859668293492012, 2.109608740774174];160.35271980000107;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_421229
23;[3.4693706160000004, -2.4999999999984706];[-3.4693706160000004, 2.4999999999984706];0.0;True;[-2.2524593143373375, -1.3269026148782617, -2.494867206607597, 0.49894193505204765, 2.6876045349434, 1.7915926087447005, -0.27374249100882864, -1.8873466640930516, 0.5612002285687323, -3.885034726184231];161.43876640000235;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_175168
24;[3.6092308320000015, -2.499999999995156];[-3.6092308320000015, 2.499999999995156];0.0;True;[0.10580856241291059, 3.8327983506955388, -0.673879086251155, -2.157569383836131, -1.1598622664127523, -4.582847542643494, -4.3818612264753245, 3.502597128625336, 2.5825416304421935, 2.8262515519020157];162.70111909999832;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_851212
25;[3.6269804160000003, -2.499999999997189];[-3.6269804160000003, 2.499999999997189];0.0;True;[2.3126237525916267, 2.9304133048551293, 1.7711703188364334, 2.1792576297442823, 2.1185876357104068, -0.7533718005473187, -3.6785651139719566, -3.644027822367417, 1.518155211904725, -4.038460207397221];159.04718229999708;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_176558
26;[3.500835336000013, -2.0789942];[-3.500835336000013, 2.0789942];0.0;True;[1.488182151728818, -3.429355019302408, 1.6751603044940433, 2.7330950471241087, -2.1905091692591947, 1.8887811766022278, -3.8048721413563955, -2.948811134464319, -1.961990300658086, 1.4260311104368375];162.04357019999588;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_16162
27;[3.833741448000014, -2.3881843];[-3.833741448000014, 2.3881843];0.0;True;[0.5538679051319448, -1.3994066918922088, 1.8253514677148566, 3.350684556886499, -4.47706843880165, 4.971694231141706, 4.109882629417527, 1.9460759992814447, 3.7756376222935, -4.36869388406513];155.87525719999394;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_287544
28;[3.786847848000013, -2.4999999998777334];[-3.786847848000013, 2.4999999998777334];0.0;True;[-2.3099140329406795, -3.7358717073869583, 2.8344497316060906, 2.7685593404184914, 0.02048660488495191, 4.748391843104779, 3.711195867364852, -0.15901046840212274, 3.307065002073154, -3.068330313643898];155.20166800000152;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_601824
29;[3.612204720000012, -2.494189445];[-3.612204720000012, 2.494189445];0.0;True;[3.445633959162338, 4.20817546840569, 0.41278925636895725, -4.384031550389793, -2.3598239126371565, -0.07101090505629593, 2.6707045797487963, -2.4132024318227883, -4.362490660475956, 2.8849522893991733];157.40289469999698;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_594942
30;[3.240777816000004, -1.057607];[-3.240777816000004, 1.057607];0.0;True;[-3.976256725063961, -3.7827241903247177, -3.5372543304486923, -1.8758869238426366, 4.73314409293789, 4.084662514329258, -0.47241529997024934, -4.62146051329257, -3.008602150315901, -4.7072245525844085];170.7126883999954;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_811747
31;[4.027734936000005, -2.4999999999990883];[-4.027734936000005, 2.4999999999990883];0.0;True;[-1.7259839014835898, 4.778323147034454, -2.3790670571365427, 1.846774939525253, 4.649544598669413, 3.875313388926932, 3.1200102284489066, 1.3734322713413967, 1.3054743224035006, 2.4253984884066773];153.89998449999985;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_686726
32;[3.740782392, -2.0447172];[-3.740782392, 2.0447172];0.0;True;[4.0671719849340775, -4.839510160273017, -1.2794652118092809, 1.8220076054401613, 0.7728331066497045, 1.6584773366957686, 3.8566285605436583, -3.4359190150202834, 1.3583543949588561, 2.003794394861485];157.7299084000042;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_814809
33;[3.598257816000011, -2.4999999999986033];[-3.598257816000011, 2.4999999999986033];0.0;True;[-0.8481021856966287, -4.748407487259316, -3.2382657424087755, 3.9937084532640057, -4.77533071207671, 2.525059175902191, 3.697162506743311, -0.13168310421302998, 1.3207740657104017, 1.5911307815025886];155.07987059999869;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_389005
34;[3.4834542480000064, -2.499999999999355];[-3.4834542480000064, 2.499999999999355];0.0;True;[-2.2023301202351897, -2.3835282512792366, -4.0934943488877105, -0.7721892338163556, 2.447878188966639, -0.7020241648487682, -1.4211405676650148, 2.717861147756894, 0.009564954321932717, 0.4704580430937586];155.00724850000552;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_46459
35;[3.332648448000006, -2.499999998678885];[-3.332648448000006, 2.499999998678885];0.0;True;[2.3547859817921424, -3.518562934792666, -4.964434187858894, -0.2596538508380819, -1.659555454518875, -2.5837188208200956, -0.7799811515991886, -1.101245923661148, -3.5592448798906684, 3.160867444971087];160.15144169999985;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_738616
36;[3.6473369040000008, -2.499999999999336];[-3.6473369040000008, 2.499999999999336];0.0;True;[-4.519571248567285, 0.830541374759707, -1.0173231982295583, -2.2387757247958096, 2.7119609572833614, -1.1504617988877253, 2.6788554890444596, 3.9500981791450247, 1.2052166677363392, -0.7923503359420412];154.9912000999975;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_298925
37;[3.690569520000006, -2.4999999999968505];[-3.690569520000006, 2.4999999999968505];0.0;True;[4.133951284123416, 1.399968179428928, 3.16536475998155, 0.03141524356503034, 2.6571454223169324, -0.8063259413394599, -3.609969747394859, 0.1776810595113787, -3.658111215280573, 0.16856092604265527];162.43967520000297;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_242445
38;[3.5591317920000005, -2.0347189];[-3.5591317920000005, 2.0347189];0.0;True;[-4.186054604678272, -1.3636235789004525, 4.214591228588061, 0.13363300450941296, 0.14908408211784518, -1.5519043241426864, 2.7902216166945504, -2.003000507293573, 3.941300125546878, -4.549629939333062];161.40835339999467;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_122749
39;[3.1711603680000118, -2.499999999998406];[-3.1711603680000118, 2.499999999998406];0.0;True;[-4.1738793270607575, 2.6067569029414317, -4.146840803080641, -4.302932562391972, -4.744646086583413, 2.397797029930447, 2.746942906496761, -3.592173845424247, -2.3184266938833256, -4.859642145097199];162.47776950000116;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_534638
